 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
intercept 0.001672501758093159 -1.0154288815544852e-06 -0.0015196457390666037 2.3436634580327766e-05 -1.1822518541664448e-07 -0.00023699300315625522 -0.00028936720723112815 -0.00019765157910262577 -0.00014869398007539848 0.0007499817837780011 -0.0003930298154197755 0.00032850332372910684 -0.0003988651337401025 0.00014076160158302183 -0.00037094827196119484 7.699946414694195e-05 -0.00022347282097735132 -5.546458476834455e-05 -0.00033975957385941205 -0.00047326761000196195 -0.0004838079073309795 0.0002625424453596815 -0.00024001734574646648 -0.0007059588820594056 0.0002844381469918574 1.36525050076586e-06 1.179521811522207e-06 -4.6124972096422016e-06
yob -1.0154288815570913e-06 3.378656353688649e-07 1.5546493892349877e-06 -2.024244519599083e-08 1.0452863843125675e-10 7.401800087389766e-06 2.500839233022686e-05 6.829248411849834e-06 -3.3962620087825594e-05 -1.6044822339293192e-05 -1.8778251680236247e-06 1.76713248838939e-06 -1.334025197114017e-05 1.853043649554155e-05 -1.0205943797851557e-05 -2.561082350677908e-05 3.289668487528869e-05 -2.8985704357226906e-05 -7.38291592631402e-06 3.503245152403334e-05 1.3818044564800798e-05 1.8571850200629736e-06 -8.203316078857948e-06 2.20229636618069e-05 -4.63293195031917e-05 4.810993692868008e-08 -2.1862396886569254e-08 1.7212038473722272e-07
age -0.0015196457390667295 1.5546493892338728e-06 0.0014710963178930028 -2.301686323769533e-05 1.1776057136229817e-07 0.0002524067671366652 0.00036575716818674115 0.00026377147834715176 1.3573357133846705e-05 -0.0005678244316353819 0.00020615427174453335 -0.00019718808001365182 0.00024018852329015756 -0.0001804940497472322 0.00022667306030704732 -2.4488176615098035e-05 9.183094755275037e-05 -0.0001031956280088346 0.00026482435569802364 0.00042655929589671356 0.00040995642399772067 -0.00027819691140883954 0.00012424223740774442 0.0005993214119425012 -0.00016526730289959647 -2.1351749706611066e-06 -7.607210895913928e-07 7.436615719054394e-06
age2 2.3436634580331022e-05 -2.0242445195967365e-08 -2.3016863237696044e-05 3.6185823247889875e-07 -1.8598946337362193e-09 -3.6455964454925946e-06 -5.397820918401381e-06 -4.303360286302516e-06 -5.953894027919411e-07 8.579202858295209e-06 -3.1370612700543434e-06 3.0631403256221826e-06 -4.008624303679681e-06 3.3397049690579236e-06 -3.9785462103018205e-06 -4.381749766432145e-08 -6.263797847273795e-07 1.1730067647924586e-06 -4.0411126665696374e-06 -6.278560688078746e-06 -5.7710067873412785e-06 4.556851031993801e-06 -2.04874489364376e-06 -9.357639625411854e-06 1.8429160576909738e-06 3.4993898350046996e-08 1.0754900861428365e-08 -1.1791395264909946e-07
age3 -1.1822518541666294e-07 1.0452863843117852e-10 1.1776057136230542e-07 -1.859894633736277e-09 9.60414201795954e-12 1.7185106142255513e-08 2.764170668856694e-08 2.3411581078557052e-08 2.3327686921455524e-09 -4.2543034599562256e-08 1.479320544931254e-08 -1.5203247551707363e-08 2.1065475018864158e-08 -1.873225878723162e-08 2.123054512494142e-08 7.965480388844713e-10 1.0159782437767022e-09 -5.572007841388365e-09 1.925603193216473e-08 3.1882877958205206e-08 2.6461311448934686e-08 -2.438580646124334e-08 1.0285586303907273e-08 4.865791842033524e-08 -7.4209374918070646e-09 -1.8440179282830186e-10 -4.992148248293799e-11 6.132600976140867e-10
PC_3 -0.0002369930031562384 7.401800087389424e-06 0.0002524067671366213 -3.6455964454917793e-06 1.7185106142250652e-08 0.06456164953513904 0.0023837748178152157 0.0023734331319186074 -0.004150558819433872 -0.014230935758758953 0.005349605012166797 0.007879447807121801 -0.010071497220485899 -0.0012379164027732192 -0.0011042194548755292 0.0027450963988686927 0.015079749127427341 0.006370097004151091 -0.006398175262726502 -0.022828952454247597 0.0013565385366551264 0.00026040658051556447 0.007974491205689618 -0.0026748557127711423 0.013844957364211848 -1.0784274648588901e-05 0.00011173716078203062 0.00013641262198625884
PC_4 -0.0002893672072312703 2.500839233022657e-05 0.0003657571681868376 -5.397820918402701e-06 2.7641706688572676e-08 0.002383774817815243 0.22773636186299037 -0.00995475714693181 0.007232861759271031 0.00020429839882223443 -0.005066537532256969 -0.011178358815036652 -0.0006699050300167712 -0.021195498906236208 0.004649818058631728 0.018632969589053704 -0.02896863427390919 -0.01084365051824299 0.01706854690487197 0.014611603657645616 -0.01059352526291436 0.006315067084495971 -0.0072511737701510155 -0.0007009276292909669 0.009026151097355804 -2.487241854500211e-05 7.036409281079938e-05 7.095582492928043e-05
PC_5 -0.00019765157910283626 6.829248411849482e-06 0.0002637714783473236 -4.303360286305081e-06 2.3411581078569496e-08 0.002373433131918645 -0.009954757146931786 0.2995058009192171 -0.003309353450249921 -0.0016936139577156044 -0.0013745339911589078 0.004815704916220334 -0.025845086180532138 0.009346641901775416 -0.027319257350810998 -0.02243326862469248 0.0013973710236142797 -0.021126831466552965 0.02011078179573226 -0.03480973315212478 0.013105585157495991 0.008409767484246157 0.0012917570129995868 -0.003125939838455673 0.024878186046590204 1.7812768241027412e-05 2.157102162802187e-05 3.674505096694196e-05
PC_6 -0.00014869398007504516 -3.396262008782593e-05 1.3573357133503306e-05 -5.953894027865645e-07 2.3327686921179833e-09 -0.004150558819433927 0.007232861759270941 -0.003309353450249978 0.37182750868410513 0.010977256088337212 -0.00508026124421416 -0.01705105086748268 -0.017477328311859316 0.011417024280757202 -0.014713447473220573 -0.0009435646957626471 -0.008598293730939517 -0.0353039120961213 0.022984793388086757 0.037169407787728204 -0.010942569064754411 0.001120793160917297 -0.008810769293598256 -0.003809712160066019 -0.01707653720357907 2.047158567275632e-05 7.84758261388152e-05 6.977451269462299e-05
PC_7 0.0007499817837781414 -1.6044822339292494e-05 -0.0005678244316354597 8.579202858296149e-06 -4.254303459956565e-08 -0.01423093575875896 0.00020429839882225544 -0.001693613957715545 0.010977256088337065 0.4570841053871034 0.015395631791392021 -0.014201100196457869 -0.029434777949410375 0.018352072327015582 0.01301070089033102 0.04696283972391641 0.014678554675182278 -0.04260554728548092 -0.02920002548270925 0.043771742326150685 -0.018227559886982606 -0.020611686522653515 0.003377137524160625 0.008439935757335384 -0.0173708766958742 -1.2463222577916073e-05 -7.335432801692326e-05 -0.00010303846626821794
