 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal gpp gmp
intercept 0.0010171859207565137 -1.935861693518575e-06 0.0001383134392837569 0.00028061462941223484 -5.1500763057302774e-05 -5.433918860437391e-06 6.06816570717451e-08 2.2693277480603184e-06 -2.73716183838463e-08 -0.0004372548245356585 0.00013495450562775148 -0.0002970389328178151 0.00034988553908929325 0.0006675401450549854 -0.0003652012625506446 -0.0004403643659470406 -0.00029176729459309743 -0.0008018055689374618 -0.0008509120267740061 -1.0302688231861286e-05 -0.0006446141492169286 -0.0006014482404429523 -0.00031427894551568303 -0.0008817303188897915 -0.0007102022754237227 -0.00018391122416135203 -0.00011048934290935802 0.0010725347873607458 0.0010004674698969789 4.569211104793078e-06 -8.446486870235714e-06 -1.996406444341458e-06 8.671059637333373e-06
yob -1.935861693516955e-06 8.07818881369356e-07 7.049276397168923e-07 5.932382101746004e-06 -7.040965911364252e-07 -5.5996129883432455e-09 5.779286278720745e-11 1.794437561937517e-08 -1.289084498701491e-10 8.653625462925108e-06 0.00010643663496097783 2.9827041859115445e-05 -6.732080486089687e-05 5.446901897137426e-06 -6.497090191176636e-05 -9.549628774539965e-06 -2.7628386223934325e-05 8.313409571661051e-05 -6.165111352789516e-06 -6.71362458040703e-05 6.071183948721957e-05 -5.753709860484097e-05 -1.2786057380165934e-06 7.468926534196398e-05 4.192340152174536e-05 -1.051867697548383e-05 -1.1325325235985261e-05 3.53755045773396e-05 -0.00010831248382836016 3.459999278011042e-08 -2.9194546187474465e-07 -1.3969775774772323e-07 7.582555485453519e-07
age 0.00013831343928379355 7.049276397169391e-07 9.36301561578997e-05 0.000765662587753413 -9.056293796557076e-05 -2.949162868340267e-06 2.7336817653998456e-08 2.8749862783294247e-06 -2.6676890665328272e-08 -2.33261477742015e-05 8.554705464000827e-05 9.420953321691607e-06 -1.1583254078634038e-05 -0.00016775909248550557 -0.00011882378290543326 -9.639004879204526e-05 -0.00016045506510564437 -0.0001638425333255317 -7.906050161055267e-05 -3.2960506723109236e-05 -2.8113804650815867e-05 -0.0001433210173309256 3.659568899014388e-05 -0.00010489399981490428 9.22611372046326e-06 -0.0002119529464770175 -0.00017696090102547706 9.783221777545925e-05 8.041499537314531e-05 -1.1651409901522682e-07 -1.0258085595661045e-06 -5.890292499977324e-06 7.198856032368846e-06
sex 0.0002806146294124352 5.932382101726021e-06 0.0007656625877534328 0.012579815229896884 -0.0012789068374295834 -2.2753257879043644e-05 2.0289266881127844e-07 3.735238214418235e-05 -3.2855850797178847e-07 2.9994312921114894e-05 0.0009408950105773239 0.0007885377086587008 0.00018876462252413666 -0.0029517801829496816 -0.0008869171452462728 -0.00019623092366740668 -0.0005589422541424449 -0.003031274667347231 -0.0008766075021530774 -0.0013100392269277735 0.00014984560053145344 -0.0025210270440697903 0.0001514864850910737 -0.002650204028675004 -0.0006426829871560607 -0.0025113079776182034 -0.0012563774913756812 0.00019365693774149159 -0.000849207192762801 -7.851537357806265e-06 -1.2441293271450747e-05 -3.081826946371563e-05 5.113746373020904e-05
age_sex -5.150076305728664e-05 -7.040965911349778e-07 -9.056293796555576e-05 -0.0012789068374294502 0.00014528816719829653 2.869405702227401e-06 -2.668449983114628e-08 -4.524481775036954e-06 4.152922164227021e-08 -1.4428028007754778e-05 -0.00012347253914342862 -0.00011668466550990253 -1.905728511933383e-05 0.0003014596028439503 4.372007786822922e-05 5.590984069790537e-05 0.00010546176826686194 0.0003371588003423546 7.564372469216012e-05 0.00014061713130101528 -3.506006463372969e-05 0.0002494119703426626 3.7104171191230947e-06 0.0002835693635235524 8.205000517079256e-05 0.0003195210300931528 0.00015140590225766194 -4.080826189954185e-05 8.834677328642541e-05 6.338926805928613e-07 1.2393622341866286e-06 4.421979421920561e-06 -6.034822565346396e-06
age2 -5.433918860438009e-06 -5.5996129882863445e-09 -2.9491628683398246e-06 -2.2753257879039907e-05 2.8694057022275204e-06 9.79519243391749e-08 -9.417519986979069e-10 -9.565722619153021e-08 9.209529995300249e-10 2.3563335255601957e-07 -6.396817754632295e-07 -2.703733603490935e-07 -1.4456486622574566e-06 6.479701618240124e-06 9.898103251914632e-07 3.333742384424497e-06 4.730270703149998e-06 8.094025000767674e-06 1.7817447530616984e-06 5.784715167701492e-07 1.6742688040672975e-06 4.0181713106367945e-06 -1.1261908644454322e-06 4.5245259914055285e-06 1.7075132268594836e-06 7.044567272760721e-06 4.199247447809007e-06 -4.8792361670334e-06 -2.408555813876079e-06 -3.131710166115468e-09 2.3957450397197223e-08 1.8824665966216296e-07 -2.014340204063959e-07
age3 6.0681657071744e-08 5.779286278671575e-11 2.733681765399149e-08 2.028926688112268e-07 -2.668449983114538e-08 -9.417519986978159e-10 9.331580089240675e-12 9.220713215048872e-10 -9.145173873939847e-12 4.5117203097597965e-10 1.3978548833916373e-08 5.124013969253967e-09 1.564427442056839e-08 -5.807598126562861e-08 -5.426722243050096e-09 -3.678583421691951e-08 -4.591231030204755e-08 -8.143096773429834e-08 -1.7714328168756685e-08 -1.3190716932556247e-08 -1.4442908382820514e-08 -4.2156615507250086e-08 1.8842258919907916e-09 -3.841985348435929e-08 -2.7156646716619003e-08 -7.024022066624357e-08 -3.299395251215252e-08 6.523777756111192e-08 7.583726562274156e-09 9.941602023903341e-11 -2.6671033497398475e-10 -1.6643953454393384e-09 1.76871822195471e-09
age2_sex 2.2693277480591588e-06 1.7944375619298887e-08 2.8749862783284645e-06 3.735238214417521e-05 -4.5244817750365885e-06 -9.565722619151151e-08 9.220713215047766e-10 1.4766623760861645e-07 -1.4039454898775924e-09 8.549775885763253e-07 4.18308125603868e-06 4.1779520994662515e-06 7.238094915560927e-07 -8.79053187378105e-06 -6.515886917280049e-07 -2.2964867837528835e-06 -4.530976043713094e-06 -1.0941516371838896e-05 -2.099015955360996e-06 -4.230309884465674e-06 1.125126521243661e-06 -6.702881548395158e-06 -1.4233362932484814e-06 -7.730013349719688e-06 -3.3488068625620633e-06 -1.0841537656430448e-05 -4.807296488037867e-06 1.640885918176112e-06 -3.1538193952538765e-06 -8.304027634272252e-09 -4.274115592647655e-08 -1.401458209410312e-07 1.8739983818485948e-07
age3_sex -2.737161838382723e-08 -1.2890844986956222e-10 -2.6676890665316215e-08 -3.2855850797170054e-07 4.152922164226432e-08 9.209529995297506e-10 -9.145173873937886e-12 -1.4039454898775153e-09 1.374176228640224e-11 -1.1140613342971228e-08 -3.876904567933096e-08 -3.983521143743576e-08 -1.0759878181488609e-08 7.611871976534818e-08 2.583722006655751e-09 2.3955389489139273e-08 4.777784257658703e-08 1.0449885534352278e-07 2.0537540742761412e-08 3.889922491037351e-08 -8.28922923233937e-09 5.267862405690778e-08 2.8397290815753598e-08 6.095376427780438e-08 4.379159082760191e-08 1.0595199150613235e-07 4.5202678813395086e-08 -1.9471231952410768e-08 3.264637503813777e-08 -5.278903993278414e-12 4.5328124311509793e-10 1.2220801772056062e-09 -1.6909212849166574e-09
PC_3 -0.00043725482453577504 8.653625462924807e-06 -2.3326147774255055e-05 2.999431292065478e-05 -1.4428028007695492e-05 2.3563335255787798e-07 4.5117203095757385e-10 8.549775885742759e-07 -1.1140613342950772e-08 0.16655230748162056 -0.011496243590409893 0.00430109782385373 0.020319402046993562 -0.0013953289688998702 0.014938083720797503 0.016400489653569435 -0.03318054386119401 -0.022167517049151625 -0.01690174302490559 0.026553301326263795 0.010265352094220475 0.038577125166233774 -0.008686228186604007 -0.07335531483029212 -0.02185663430731213 -0.007296786423316768 0.02403834420946315 -0.024838651997560655 0.055779735188268606 0.00010767241977429282 -3.577441819774099e-05 0.00018493705474653284 0.00022184598021374066
