 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband maternal gpm gmm
intercept 0.0006857266883558245 -2.4377206466484593e-06 0.0001389317941680694 1.408065045668775e-05 -4.447570171707903e-06 -4.522643020325037e-06 4.382908238257491e-08 1.7858530977445278e-07 -1.8405288147392094e-09 -0.0003657439041197617 -7.311170265793364e-05 -0.0006360060609391863 -0.00037698882435003184 0.0008213873720769937 -0.001051926230756994 -3.5228718911994526e-05 -0.00024883138493952354 0.00039797957495477055 -3.6363522662128134e-05 0.00045135360156736725 -0.0001446495510735764 -0.0002833561348826869 -0.0002682287834841343 -0.0008545237511410633 -0.0007870263944207822 -0.0002740709649593891 -0.0006677366631210055 -0.000977448343493319 0.0020097613889873077 6.191088342502833e-07 -1.318909895799671e-05 1.695583406652502e-05 1.1313378767740217e-05
yob -2.437720646648302e-06 8.63558673904068e-07 1.106571686382076e-06 2.1870977416130523e-06 -2.7794022850935584e-07 -4.9192889849784335e-09 1.0412022593174568e-11 5.073022414077319e-09 -1.8975732312946343e-11 -9.012416209383086e-06 0.00019718977963322518 6.581612586843596e-05 -6.21427484735236e-05 1.3191634681419978e-05 -9.811048656803714e-05 -8.43914643294409e-06 -4.978270176752205e-05 8.40252342685298e-05 -9.66931238983223e-06 -8.775922841016979e-05 5.142965630659538e-05 -5.922057080033193e-05 1.5983779957239198e-06 9.551886488931615e-05 4.759399051669196e-05 -6.409785362278187e-06 -1.3711918501886054e-06 7.061739784698083e-05 -0.00016889764678617723 9.608876233412601e-09 -1.4474066695500023e-07 1.1218199461883466e-07 2.1232678200435438e-07
age 0.0001389317941676828 1.1065716863783937e-06 0.00020659162133371023 0.0022190422777702825 -0.0002028626205142694 -5.55937117368216e-06 4.591759578985842e-08 5.480582404435756e-06 -4.522415640119213e-08 -1.4991273670382596e-05 0.00020790430500790055 9.462488430745077e-06 -5.6058831697938116e-06 6.369294885910586e-05 -0.000378529460013562 1.9250281467361795e-05 -0.00027806651154020076 0.00027662956084640423 0.00015437043081516566 4.346379886276012e-05 0.00020199673972387655 6.423503651790205e-05 0.00010961622343076673 -0.00010257107333087698 -0.0001059191049249828 -0.0001503675020302545 -1.8718907443542373e-05 4.7366633617172104e-05 0.00010028741126950219 -7.10834337508292e-07 2.1364916527755433e-07 -6.623434749794132e-07 4.0280365136382044e-07
sex 1.408065044721638e-05 2.187097741609355e-06 0.002219042277764181 0.04349351580473346 -0.003759510864343348 -5.767642217996241e-05 4.631940621547406e-07 9.826805241154032e-05 -7.941767328636782e-07 -0.0004050628074733425 0.00015547865651824202 -0.0013727778513052324 0.0021142261761773083 -0.0005161294723255771 -0.0019055896238019396 -0.0005445171885825826 -0.0012515447910260654 0.0007146793005537248 0.0030161890995422554 -0.0014297257139929249 -0.0019517975067615523 0.000405330995329802 0.002533925441917502 -0.000237562528515799 -0.002287700185265463 -0.0010855388412270746 0.0027167340325561316 0.000789501574242932 -0.0006920636113656402 -1.1576552981951747e-05 -7.473580783505329e-06 -3.0796281962227724e-05 3.0764216387351714e-05
age_sex -4.4475701707908175e-06 -2.779402285081199e-07 -0.00020286262051361464 -0.0037595108643423292 0.00034308814836016304 5.476554308614574e-06 -4.5208569337167086e-08 -9.307867014105629e-06 7.728842647956816e-08 3.581046190542904e-05 3.2060533000283417e-05 0.0001776787127192536 -0.0001417485204697823 0.0001417570847418087 0.00013552235254285275 4.499539837195155e-05 1.895140633722583e-05 -9.709786147590658e-05 -0.00029207183947572285 0.00014318593269669705 0.0002081168263548889 -0.00012021190537880454 -0.00021060951468168166 1.0627382768586046e-05 0.000274610464618593 0.00013855073092369243 -0.00012221600605973368 -3.93545798135238e-05 3.150367314569543e-05 1.2758633181619284e-06 4.8641270706525e-07 2.771151257207973e-06 -2.782826619928196e-06
age2 -4.522643020311082e-06 -4.919288985010837e-09 -5.559371173680659e-06 -5.767642218011123e-05 5.476554308630826e-06 1.5495057081812847e-07 -1.3116342688326783e-09 -1.5251898497976593e-07 1.2892287785320593e-09 2.56817558971562e-07 5.044932655814558e-07 3.2946364332316183e-06 -9.116538402384271e-07 3.0687613428182384e-06 5.5999785769612545e-06 2.2923199313541166e-07 4.3070085257858474e-06 -6.137829072278454e-06 -5.962120468603288e-06 -2.256052620274544e-06 -4.885741358310693e-06 -4.3193235201529115e-06 -2.8523185547917204e-06 4.557601106160241e-06 5.4878913884551075e-06 4.390188004047835e-06 3.8224605020981196e-07 -2.74042693500629e-07 -6.735650769253114e-06 2.258172884843776e-08 -2.8412790311460215e-09 1.4627149055644847e-08 -1.2226865910513186e-08
age3 4.382908238245555e-08 1.0412022592791293e-11 4.59175957898349e-08 4.631940621558656e-07 -4.520856933729154e-08 -1.3116342688323867e-09 1.1332619535988226e-11 1.2890867855145516e-09 -1.1118342632585291e-11 -5.383295083679549e-09 -4.9848629574236794e-09 -3.712720638825256e-08 3.6224092914245205e-09 -4.620364739485417e-08 -4.151165244766177e-08 -1.111624683007751e-08 -2.5990910257600046e-08 5.7115597718379734e-08 5.998825259986297e-08 1.0265249852433636e-08 4.015349824101119e-08 4.1020416885947725e-08 2.0886713885701197e-08 -3.440165420883706e-08 -5.5893824721141955e-08 -4.0250622033403485e-08 -5.960076438373199e-09 5.260358405743847e-09 5.737984881170659e-08 -2.0224173983653878e-10 -1.9562203746148152e-11 -6.870641698734984e-11 1.2389489844358816e-10
age2_sex 1.7858530974780477e-07 5.073022414188349e-09 5.480582404415743e-06 9.826805241148608e-05 -9.307867014103286e-06 -1.5251898497926018e-07 1.28908678551064e-09 2.601037145535022e-07 -2.2111227436890675e-09 -1.3879677864158408e-06 -1.1156942960304039e-06 -5.700481481431789e-06 3.098938385562943e-06 -5.880716662436815e-06 -3.248030946211571e-06 -1.554156145139312e-06 6.765963198375562e-07 3.3452874754915167e-06 7.941904184600011e-06 -3.983110067574626e-06 -6.3456781214834074e-06 5.022690853804637e-06 4.7915960340609066e-06 2.0268060055116708e-07 -8.474259373141326e-06 -4.861049103813323e-06 1.1730752134582872e-06 7.18280947036747e-07 -1.0638640972611627e-06 -3.729994008276828e-08 1.1048108893104363e-09 -8.076599393465792e-08 6.743271558644162e-08
age3_sex -1.8405288145048787e-09 -1.8975732313145955e-11 -4.5224156401008186e-08 -7.941767328630489e-07 7.728842647953192e-08 1.289228778527395e-09 -1.111834263254896e-11 -2.2111227436886088e-09 1.917962746869663e-11 1.581297532173488e-08 1.0005085948386185e-08 5.166279572876266e-08 -2.204423123320731e-08 6.188097779480064e-08 2.635876308294551e-08 1.9074644962169103e-08 -1.0480995478968296e-08 -3.2272699092044715e-08 -6.504480929018652e-08 3.7195982561731464e-08 5.976114295696419e-08 -5.4335569283246186e-08 -3.1923032880984825e-08 -5.702002914137411e-09 7.425873085514778e-08 4.762298734491063e-08 4.397483557245563e-09 -7.295931157354648e-09 1.2430012606405872e-08 3.3365557595401134e-10 -1.4674464753318398e-10 7.507929981147688e-10 -4.722267614900294e-10
PC_3 -0.00036574390411955957 -9.012416209382024e-06 -1.4991273670123468e-05 -0.00040506280747091216 3.5810461905209175e-05 2.568175589645756e-07 -5.383295083621953e-09 -1.3879677864099363e-06 1.581297532168646e-08 0.1783101339304865 -0.0027218414024134615 -0.013506103814752878 0.027700822766377965 -0.005240052887863019 0.02085856793948446 0.026137123114059302 -0.04162884606006558 -0.033204755335112836 -0.028858509793902993 0.04836219872729458 0.03331543288554134 0.04801060787381757 -0.03887728658087819 -0.09542068241118715 -0.02694842942712637 -0.020770322674150552 0.02715439854074895 -0.04315967568914902 0.07440599897628147 0.00017304457175906844 -0.00015975957476140653 0.00026138975972468735 0.0003198317376475581
PC_4 -7.311170265784224e-05 0.00019718977963322605 0.00020790430500831753 0.00015547865652506737 3.206053299966791e-05 5.044932655703084e-07 -4.9848629573322445e-09 -1.115694296013913e-06 1.0005085948251373e-08 -0.0027218414024135157 0.6770742595440633 -0.015419457418082767 0.08679204785234555 -0.06812155678977456 0.002918012198294648 -0.013519687437283151 0.012302016928216216 -0.06565617747108828 0.032824649956202684 0.057967386076886125 -0.10698393375221159 -0.012906549371695625 0.08558450873643099 0.05424009429069947 -0.03412471214039848 0.031228624640041516 -0.02354690116323678 -0.02354411738115641 0.07437084173591547 -3.3901759312741856e-06 -0.00010936572485730717 0.00011377340722269745 7.347236975591423e-05
PC_5 -0.0006360060609385233 6.581612586843542e-05 9.462488431200472e-06 -0.0013727778513047204 0.00017767871271927372 3.294636433220216e-06 -3.712720638816491e-08 -5.700481481433939e-06 5.166279572879246e-08 -0.01350610381475323 -0.015419457418082512 0.8112866350505391 0.004189137293655781 0.0009606017677203454 -0.0025778163759371422 0.008649142978454118 -0.05054983991761716 -0.02585162759579368 -0.09518565235606598 0.002564302391503897 0.0021747288809277716 -0.034919463708605034 0.014995196703290359 -0.08555994295949339 0.0016405673001239182 -0.008460174995873397 -0.03304213698294779 -0.055379624960303214 0.05597233278039387 0.0001413501861461572 -5.30684535159709e-05 0.00013856993946980298 -3.2363217092802714e-05
PC_6 -0.00037698882435024093 -6.214274847352589e-05 -5.6058831698776805e-06 0.002114226176178349 -0.00014174852046990773 -9.116538402366602e-07 3.6224092914130425e-09 3.0989383855670868e-06 -2.2044231233247247e-08 0.027700822766377784 0.08679204785234534 0.0041891372936561635 1.0570098319370094 -0.016899982308353798 0.12002827193591424 -0.006061757543633981 -0.02300074227213267 0.0451276200281518 -0.121601069737875 -0.06691542599305345 0.07931096161554087 -0.13335715542683746 0.05242807964667041 0.1089777608705998 0.00018655711159581523 0.002122569979182514 -0.048561393796543846 0.018678393217782852 -0.11084173940110471 0.00013334670811446318 -6.801575502258744e-05 -7.654343457097859e-06 0.0005582638825169143
PC_7 0.0008213873720779385 1.3191634681422316e-05 6.369294886030853e-05 -0.0005161294723144222 0.00014175708474079937 3.0687613427857818e-06 -4.620364739458638e-08 -5.880716662409704e-06 6.188097779457865e-08 -0.005240052887862347 -0.06812155678977454 0.000960601767719011 -0.01689998230835336 1.3224286962316798 0.05259995696336825 0.08406244874341215 -0.07180613504207131 0.14223077275170626 0.04817100903321355 0.053253258998644484 0.04685323021847226 -0.17863420548692344 -0.10780665819842727 0.10318655107629436 0.04360681276828203 -0.02039427313522479 0.007388942921972263 0.0845243646700579 -0.097066056074177 -0.00019845234499424544 0.0001001264887270035 -7.169349431146968e-05 -0.0002156676132247383
PC_8 -0.001051926230756771 -9.811048656803838e-05 -0.00037852946001417525 -0.0019055896238166158 0.00013552235254430062 5.599978576979527e-06 -4.151165244782507e-08 -3.248030946253473e-06 2.6358763083312313e-08 0.020858567939484797 0.0029180121982949636 -0.0025778163759361717 0.12002827193591373 0.05259995696337008 1.5497288179995743 0.14804046816772298 -0.011950157286339132 -0.024631330989800564 0.0012724644696348428 -0.09892356329796348 0.030713297404923214 0.11455262145397989 -0.06286137504349973 0.055886858528977505 0.13523307234889131 0.05365931939711052 -0.03078348230352279 0.006256786152845246 -0.06558299533778014 -8.445890063135684e-05 2.5952332732142174e-05 -0.00011661309302465203 8.338063600526577e-06
PC_9 -3.5228718911667395e-05 -8.43914643294388e-06 1.9250281467830448e-05 -0.0005445171885776073 4.499539837147841e-05 2.292319931224218e-07 -1.111624682996804e-08 -1.5541561451261109e-06 1.907464496205718e-08 0.02613712311405928 -0.01351968743728313 0.008649142978453773 -0.006061757543633868 0.0840624487434116 0.1480404681677224 1.942332824722163 0.12416705295650392 -0.032892832127 -0.14381943603165923 0.13122684091371012 -0.014234266856718946 -0.04134047667494846 -0.18721958359063173 -0.02706007747407736 -0.12627375376234357 -0.09825911265091442 0.015742108894000233 -0.12787969991818482 0.1478143221864773 3.6248699069968345e-05 8.756193415057002e-05 -0.00036446184822290387 0.00011825378641476593
PC_10 -0.00024883138493990073 -4.978270176752296e-05 -0.000278066511541622 -0.0012515447910491104 1.89514063394352e-05 4.307008525826091e-06 -2.5990910257944365e-08 6.76596319775055e-07 -1.0480995478430845e-08 -0.0416288460600652 0.012302016928216286 -0.05054983991761526 -0.023000742272133085 -0.07180613504206954 -0.011950157286337977 0.12416705295650414 2.332298555256835 0.18868498358019364 -0.07774679186889173 -0.03033010822708101 0.011473979848183425 -0.03563898914048279 0.07201878681337616 -0.009823500303724716 0.1615259927828031 0.10154882239943011 -0.0011905464590186365 -0.004085889680506423 -0.08720164583746193 0.00014165761331226304 -0.00015091799791129717 2.569710657907327e-05 0.00011911909011052853
PC_11 0.000397979574954411 8.402523426852656e-05 0.0002766295608451508 0.0007146793005360495 -9.709786147429478e-05 -6.137829072244895e-06 5.7115597718105004e-08 3.3452874754479673e-06 -3.227269909168481e-08 -0.03320475533511252 -0.06565617747108832 -0.025851627595792924 0.045127620028151516 0.14223077275170687 -0.024631330989799388 -0.032892832126999894 0.18868498358019456 2.2396027929065867 0.08735482492323685 0.12499593172167854 0.05810798724661948 0.18745602242382114 -0.023481704577544685 0.05405056764169145 -0.25468793398424655 -0.1019107523718301 0.02708869635881303 -0.032018998081232 0.3476092512883464 -9.108496718594438e-05 6.12528764262501e-05 -7.91478655364337e-05 2.6861917702698764e-05
PC_12 -3.6363522662983325e-05 -9.669312389837873e-06 0.0001543704308144274 0.0030161890995395245 -0.0002920718394755544 -5.962120468584631e-06 5.998825259971745e-08 7.941904184597475e-06 -6.504480929018022e-08 -0.028858509793903076 0.03282464995620217 -0.09518565235606613 -0.12160106973787504 0.04817100903321267 0.0012724644696362733 -0.14381943603165956 -0.07774679186889016 0.08735482492323794 2.4742899230461664 0.12873552756161763 0.02750170056464657 -0.08836632781910086 0.1703125901710032 0.10763982684471436 0.1371326885983546 0.10546438492325241 0.13117804440967268 0.04912851963139087 0.06359141801223345 -0.00014574453558085392 -0.00010091364881011092 -7.176155084183431e-05 0.00022507069452566147
PC_13 0.0004513536015680392 -8.775922841017002e-05 4.3463798863115254e-05 -0.0014297257139933208 0.0001431859326967077 -2.2560526202846975e-06 1.0265249852521332e-08 -3.98311006757442e-06 3.719598256172669e-08 0.048362198727294636 0.05796738607688634 0.002564302391503358 -0.06691542599305382 0.05325325899864477 -0.09892356329796406 0.13122684091371026 -0.03033010822708186 0.12499593172167808 0.12873552756161774 2.437973418702407 0.250976407645523 -0.09516043673799492 -0.14496253363304795 0.08018133656265945 0.24212819545266365 0.0778712067712643 -0.2367033656685097 -0.05304815683523991 -0.17800785373802197 -0.0001352827593770678 -8.672930977393251e-05 -0.00011888546221294974 0.00021477738098846366
PC_14 -0.00014464955107268253 5.1429656306596165e-05 0.00020199673972555357 -0.0019517975067396773 0.0002081168263528241 -4.8857413583572785e-06 4.0153498241404955e-08 -6.345678121425765e-06 5.976114295647383e-08 0.03331543288554099 -0.10698393375221127 0.002174728880926289 0.07931096161554176 0.04685323021847144 0.03071329740492143 -0.014234266856719125 0.011473979848181996 0.05810798724661919 0.02750170056464853 0.2509764076455216 2.4215836356067735 -0.0025674661981446648 -0.09371502521367507 0.03632169355387036 -0.013483740961751674 -0.07539263054654284 0.024866849996515932 -0.2617602542819027 0.17282177693939055 8.62012081392331e-05 -6.604929576913792e-05 -0.0004933171350876954 0.0001935359673557849
PC_15 -0.0002833561348832965 -5.92205708003324e-05 6.423503651766305e-05 0.00040533099533270555 -0.00012021190537915056 -4.319323520147648e-06 4.102041688591267e-08 5.022690853816037e-06 -5.433556928335538e-08 0.04801060787381736 -0.01290654937169598 -0.034919463708606664 -0.13335715542683754 -0.17863420548692593 0.11455262145398054 -0.04134047667494882 -0.03563898914048166 0.1874560224238226 -0.08836632781910062 -0.09516043673799565 -0.002567466198145881 2.7869175826114265 -0.08509014922918455 0.08724982123719592 0.09182731093379752 0.006311661989901947 0.04265017864277135 -0.0057566371074360394 -0.17434396979180355 6.824973798106831e-05 0.0009076368955081086 -0.001069670855817907 -0.0003616851720520077
PC_16 -0.0002682287834845046 1.5983779957226048e-06 0.0001096162234306705 0.0025339254419202875 -0.00021060951468198662 -2.8523185547900005e-06 2.0886713885693213e-08 4.791596034070514e-06 -3.192303288107378e-08 -0.03887728658087851 0.08558450873643068 0.014995196703289792 0.052428079646670254 -0.10780665819842712 -0.06286137504349916 -0.18721958359063226 0.07201878681337694 -0.023481704577543384 0.17031259017100414 -0.1449625336330478 -0.09371502521367671 -0.08509014922918415 2.9877580517249487 0.03429869341101703 -0.0010741007559152882 0.12057132291225735 0.0514802951337252 0.021453779354343016 0.028444192362757807 -6.237250515757284e-05 0.0003082186545087707 -0.0003141136745258885 0.0002875913726695641
PC_17 -0.0008545237511412889 9.55188648893168e-05 -0.00010257107333146182 -0.00023756252852496032 1.0627382769506388e-05 4.557601106177497e-06 -3.440165420899001e-08 2.026806005240672e-07 -5.702002913897177e-09 -0.09542068241118679 0.054240094290699446 -0.08555994295949317 0.10897776087059945 0.10318655107629504 0.05588685852897772 -0.027060077474076953 -0.00982350030372609 0.054050567641690854 0.10763982684471321 0.08018133656266 0.03632169355387076 0.087249821237195 0.03429869341101706 3.2921697780784065 -0.08235894169057385 -0.04742270012643989 -0.1517212108313621 -0.08301918214428043 -0.14776404360486 -0.00037130448893776574 0.00016067418659280276 -0.0008339272636402783 0.00044686735577317366
PC_18 -0.0007870263944197465 4.759399051669318e-05 -0.0001059191049245636 -0.002287700185270088 0.0002746104646190853 5.4878913884448855e-06 -5.589382472106475e-08 -8.474259373156444e-06 7.425873085528692e-08 -0.026948429427126365 -0.034124712140398035 0.001640567300123102 0.00018655711159400092 0.04360681276828452 0.1352330723488901 -0.1262737537623438 0.16152599278279814 -0.25468793398424794 0.13713268859835442 0.2421281954526639 -0.013483740961747129 0.09182731093379753 -0.0010741007559129866 -0.0823589416905755 3.0044289699490956 0.2986132617779119 -0.06651226819790527 -0.14120067797823124 0.08732354514439038 -0.0006435790820151826 0.0006017555694331427 -0.0004547456757233381 -0.0005644047639840653
