(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband sibling paternal maternal
(Intercept) 0.00235901473519493 -4.29165110321135e-05 6.21454788768981e-05 0.000238453358000763 3.75605559532707e-05 -1.24521820320582e-05 -0.000111961966335521 -0.000259853840756256 7.52895973765317e-05 0.000516516496448415
covarage -4.29165110321135e-05 0.000687664522110564 0.00102706314419695 -0.00105846565473026 -1.75218949351362e-05 3.19560001564839e-05 4.97251078181688e-06 9.08380698665208e-06 2.50417739569912e-05 -5.15481024227537e-05
covarsex 6.21454788768981e-05 0.00102706314419695 0.00389600259244205 -0.00389085907726561 -1.83016872139246e-05 8.74686425599898e-06 1.69357075882899e-06 -8.34978872790389e-06 -1.25400917980929e-06 3.90945791872566e-05
covarage_sex 0.000238453358000763 -0.00105846565473026 -0.00389085907726561 0.0042623558996766 3.1357637836232e-05 -6.40394584703124e-06 -2.04745862110908e-06 -1.31521812452653e-05 5.5527306482599e-06 7.09235532812763e-06
covarPC_3 3.75605559532707e-05 -1.75218949351362e-05 -1.83016872139246e-05 3.1357637836232e-05 0.00031788501537427 1.31013665788101e-05 -6.02219788597454e-06 -9.26077507935924e-06 3.98185733290787e-05 3.84453181178921e-05
covarPC_4 -1.24521820320582e-05 3.19560001564839e-05 8.74686425599898e-06 -6.40394584703124e-06 1.31013665788101e-05 0.000338470696376151 -4.25340720896009e-06 -3.94195101250277e-06 5.45433623022737e-06 1.82583987888497e-05
proband -0.000111961966335521 4.97251078181688e-06 1.69357075882899e-06 -2.04745862110908e-06 -6.02219788597454e-06 -4.25340720896009e-06 0.00104433396053126 0.000528240720010998 -0.00101748815809961 -0.000971254616838872
sibling -0.000259853840756256 9.08380698665208e-06 -8.34978872790389e-06 -1.31521812452653e-05 -9.26077507935924e-06 -3.94195101250277e-06 0.000528240720010998 0.00123625588731254 -0.00113481436106264 -0.00110272503479605
paternal 7.52895973765317e-05 2.50417739569912e-05 -1.25400917980929e-06 5.5527306482599e-06 3.98185733290787e-05 5.45433623022737e-06 -0.00101748815809961 -0.00113481436106264 0.0033169925961353 -0.000175517935004258
maternal 0.000516516496448415 -5.15481024227537e-05 3.90945791872566e-05 7.09235532812763e-06 3.84453181178921e-05 1.82583987888497e-05 -0.000971254616838872 -0.00110272503479605 -0.000175517935004258 0.00323645533596055
