(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband maternal gmm gpm
(Intercept) 0.000780346303568694 0.000614459173941572 0.000169751164026538 -0.000445052644075972 -7.46037043137224e-06 3.25933752819383e-05 2.1882387319014e-05 -3.14645965863492e-05 3.77635452234e-05 4.81490846367222e-05
covarage 0.000614459173941572 0.00123698786588165 0.00117865660133501 -0.00198306992650676 -1.4783186179947e-05 2.92317679842838e-05 4.50291929987375e-06 -7.99312812310547e-06 -2.41295167189071e-05 3.2711564099229e-05
covarsex 0.000169751164026538 0.00117865660133501 0.00203030723356335 -0.00288077606757624 -1.21391333234066e-05 6.97553224453716e-06 -2.85028727149684e-06 3.81884748367244e-06 -2.85128118280134e-05 9.09855315025692e-06
covarage_sex -0.000445052644075972 -0.00198306992650676 -0.00288077606757624 0.00484886300704944 1.30921452329111e-05 9.32126013515671e-06 9.91772343884612e-06 -1.517555569415e-06 3.62098108399047e-05 -9.72168626567892e-06
covarPC_3 -7.46037043137224e-06 -1.4783186179947e-05 -1.21391333234066e-05 1.30921452329111e-05 0.000307129625834774 -2.62816296769448e-06 1.78823596012526e-05 -1.58540275288658e-05 3.38598535326612e-05 1.81756292824548e-05
covarPC_4 3.25933752819383e-05 2.92317679842838e-05 6.97553224453716e-06 9.32126013515671e-06 -2.62816296769448e-06 0.000320998897872859 -9.73683870227508e-08 3.43405722222045e-06 -1.36475452053234e-05 1.38377042573231e-05
proband 2.1882387319014e-05 4.50291929987375e-06 -2.85028727149684e-06 9.91772343884612e-06 1.78823596012526e-05 -9.73683870227508e-08 0.000365553743233159 -0.000184684994279964 -1.03009519259223e-05 -5.25665409159178e-06
maternal -3.14645965863492e-05 -7.99312812310547e-06 3.81884748367244e-06 -1.517555569415e-06 -1.58540275288658e-05 3.43405722222045e-06 -0.000184684994279964 0.00179271809776975 -0.00130407372419625 -0.00144901788642784
gmm 3.77635452234e-05 -2.41295167189071e-05 -2.85128118280134e-05 3.62098108399047e-05 3.38598535326612e-05 -1.36475452053234e-05 -1.03009519259223e-05 -0.00130407372419625 0.00354863728137769 -0.000983945515969952
gpm 4.81490846367222e-05 3.2711564099229e-05 9.09855315025692e-06 -9.72168626567892e-06 1.81756292824548e-05 1.38377042573231e-05 -5.25665409159178e-06 -0.00144901788642784 -0.000983945515969952 0.00377478889934371
