 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
intercept 1.0266348325272632e-05 7.350702558824832e-08 5.464898237061757e-08 -9.195300173499996e-07 1.4239338842249135e-07 1.580557190213246e-09 -7.36034042938631e-12 -4.989595488525326e-09 4.2540034559528634e-11 2.26659362704331e-06 -1.7977858813035326e-07 4.323706806214432e-06 -4.2233512542470346e-05 4.65262975835099e-05 -6.866989097417077e-05 4.9031972705170735e-05 -4.22432075192385e-05 -7.976002062499016e-06 -8.11098241752787e-05 -1.3079730500254077e-05 -1.730208933141896e-05 -5.418442664807555e-05 -4.838162895718557e-07 -3.3857518037900755e-05 -6.4237380859319454e-06 2.5950450391510257e-06 -4.3310332359846e-05 -5.005390037780917e-05 6.00099027690527e-05 -3.754541469958413e-07 1.7840159127619578e-07 5.185062779883478e-07
yob 7.350702558824206e-08 9.989965966844227e-08 3.6370211723420174e-08 1.9857408223742569e-07 -3.5104669142373823e-08 1.6079067489092795e-09 -1.4150947151223941e-11 4.6100541056153385e-10 -3.698178357762883e-13 5.361798315314946e-07 7.394135590368484e-06 6.341021355731785e-07 -6.418002594971151e-06 -1.2445379206680896e-06 -3.426755169917881e-06 -2.6828321146527333e-08 -2.5999140946081336e-06 4.578840582799113e-06 -1.6655999678398374e-06 -4.130812186893521e-06 5.940040247610911e-06 -4.92226055918667e-06 -2.7119118842107284e-06 8.666375046221589e-06 2.6761863049272887e-06 5.519571060352001e-07 -2.057793695159901e-06 2.974422140785334e-06 -1.1395316929203234e-05 -1.1597174818679928e-09 1.1409019032306546e-08 1.9940559388954523e-08
age 5.464898237143067e-08 3.6370211723458886e-08 1.3715510981884665e-05 0.00017113042166889156 -1.3531335428755341e-05 -3.0372217478686695e-07 2.025628297359655e-09 3.00762383064326e-07 -2.0074934175161863e-09 -4.608713461775071e-06 -3.74341574866193e-06 -1.4819243690909005e-05 -9.081200815816224e-06 1.6936567949794828e-05 5.488657446132917e-06 1.7129279663414483e-06 3.8914261591083595e-06 -4.57961735109972e-06 1.4370817257444564e-05 1.558102458919022e-05 -1.6197161549134863e-05 2.8799131241703243e-06 -1.5184358817128071e-05 -2.0350951632626697e-06 5.731144476518374e-06 -1.316013258099035e-05 -1.9701102661551033e-05 -1.3642872565382457e-05 3.3051147273295446e-05 -1.0993205503053752e-07 6.975125187256417e-08 -1.8504268266797006e-08
sex -9.195300175171206e-07 1.9857408223875534e-07 0.00017113042166888118 0.0045040722448086495 -0.0003191373851650302 -3.594575284015016e-06 2.3121569869836853e-08 6.679192227979302e-06 -4.286280087280808e-08 1.8309842232301716e-06 -3.835660543571537e-05 -9.422735200880857e-05 2.416883843603241e-05 -1.8179129576232387e-05 0.00012332776990316453 9.303615520236697e-05 0.0001155776151260179 -1.854786055622734e-05 7.765864071036227e-05 -6.276102052996524e-05 -0.00016099247508023458 -0.00024062952290691464 -2.782158487681581e-08 -8.523084207496372e-05 0.00019135441260638078 -5.176103266771755e-05 -0.00012054177127283918 -1.730813113862787e-05 6.300906326852287e-05 -5.518144346005557e-07 1.803616946206194e-07 -3.1250263476096656e-06
age_sex 1.4239338845089202e-07 -3.510466914258398e-08 -1.353133542875787e-05 -0.00031913738516509957 2.4671768063210642e-05 3.0009626544352635e-07 -2.0029946740408437e-09 -5.440637423511562e-07 3.618444684871598e-09 -1.2204146770750767e-06 8.762308396919398e-06 1.3794934695421712e-05 6.184835662623309e-07 9.667512525772282e-07 -1.5056420979195468e-05 -4.855691460844723e-06 -1.187850721069733e-05 5.862029522497917e-06 -8.923918050695976e-06 2.606871685154134e-06 1.0210213052810044e-05 1.5243416506867163e-05 2.677799241453224e-06 9.754001892136816e-06 -1.2351468635202602e-05 1.988332266842066e-06 1.2465660919786307e-05 1.9948162456638967e-06 -8.08309351505388e-06 7.361001539303754e-08 2.1348247564578065e-08 2.482708135338743e-07
age2 1.580557190393182e-09 1.6079067489061213e-09 -3.0372217478691136e-07 -3.594575284016094e-06 3.0009626544353445e-07 7.044721264277203e-09 -4.8409843890628575e-11 -6.935006673246234e-09 4.768170350117926e-11 1.5424094613218206e-07 4.328263233178219e-07 4.3178446830065887e-07 9.016569750652118e-08 -2.644883460921879e-07 -2.763350529526197e-07 -6.454023600935467e-08 -2.483939827470028e-07 2.880899151647636e-07 -4.453366587971483e-07 -4.947069693624849e-07 4.4150459049230836e-07 -2.1099049360772547e-07 3.5512331730952176e-07 3.14963990182285e-07 4.093596541656871e-08 3.156840352510435e-07 3.6048255308561095e-07 3.018028093161352e-07 -1.0837940431877264e-06 2.9545041893064727e-09 -9.740434745259018e-10 6.765902301289051e-10
age3 -7.360340431061064e-12 -1.415094715121925e-11 2.0256282973601536e-09 2.3121569869848258e-08 -2.002994674041225e-09 -4.840984389063351e-11 3.404561867739518e-13 4.762469883343481e-11 -3.35136261556131e-13 -1.42625851051847e-09 -3.6443092309378395e-09 -3.284518318539343e-09 -8.871817632847872e-10 1.4859505365290463e-09 1.992366651060952e-09 5.596474408037348e-10 2.09532699733398e-09 -2.4067539309434186e-09 3.2225278303091196e-09 3.6677209336764216e-09 -2.898374593726212e-09 1.6107426791788937e-09 -2.8844198871231766e-09 -2.7365056318214962e-09 -9.099744038323275e-10 -2.2763680823484714e-09 -2.2955347476890514e-09 -1.6522854373136413e-09 8.196859036866017e-09 -2.3262833453575044e-11 5.193932985734859e-12 -5.022286311806871e-12
age2_sex -4.989595488767316e-09 4.6100541056194796e-10 3.0076238306443477e-07 6.679192227981867e-06 -5.440637423512373e-07 -6.935006673247226e-09 4.762469883343411e-11 1.2454759173218051e-08 -8.522785029284212e-11 3.5189451519460875e-08 -2.627460698802437e-07 -3.859673255615113e-07 -4.112370816201572e-08 -3.473549959823912e-08 4.16707994181799e-07 8.477598088059452e-08 2.8548319352853223e-07 -1.8062505097080038e-07 2.7343443663468097e-07 4.160829559592256e-08 -2.005131077684538e-07 -2.741426496048222e-07 -1.3122482449677244e-07 -2.9431156026216187e-07 2.631084916943305e-07 -5.3763895814064414e-08 -2.9829031154754176e-07 -2.552325735188225e-08 2.416452013894857e-07 -2.054653001212743e-09 -7.211483743973599e-10 -5.147492506255932e-09
age3_sex 4.25400345636876e-11 -3.698178357965971e-13 -2.007493417517167e-09 -4.2862800872830455e-08 3.6184446848725363e-09 4.7681703501191665e-11 -3.351362615561648e-13 -8.522785029285093e-11 5.970940168554522e-13 -1.3720994376401287e-10 2.0617004978175226e-09 2.971164386372639e-09 3.878472124056233e-10 3.548941204724309e-10 -3.1916874653650736e-09 -3.8707013633178624e-10 -1.9486109332532846e-09 1.3800714011295257e-09 -2.3001181739710795e-09 -8.291920319221063e-10 1.2122413204094559e-09 1.5631789070221067e-09 1.2758014616590486e-09 2.335852885003486e-09 -1.8056218531002274e-09 4.876874884760235e-10 2.036964162372655e-09 -1.9839461974359823e-10 -1.8617079926611644e-09 1.69231908830801e-11 4.955037433985023e-12 3.137264519863413e-11
PC_3 2.266593627042858e-06 5.361798315314457e-07 -4.608713461775799e-06 1.8309842232383658e-06 -1.2204146770758916e-06 1.5424094613219368e-07 -1.4262585105185171e-09 3.518945151948349e-08 -1.372099437641896e-10 0.02678802014666089 0.0006850996380607882 0.0018377316550924204 9.69238209232626e-05 -0.004383967377393371 0.001560216591231388 0.00377560994082789 -0.004079066484121991 -0.00048446463636472626 -0.0017044287390712777 0.0005833613766228834 0.004915401222632113 0.002879882127455812 -0.0014799894378854503 -0.00977498990060801 0.00042018684839577395 -0.00023518626550829194 0.0032133867445838507 -0.0007321841214596493 0.0049440766184882905 -1.6529945286414616e-06 4.774366606948319e-05 4.152596004721829e-05
