 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
intercept 1.7312882918922862e-05 2.6952709376367696e-07 -5.002449577519472e-06 -2.6561290919910793e-05 1.7689928992763133e-06 9.266197919319862e-08 -5.305908332925857e-10 -3.626678184838075e-08 2.3210842462353418e-10 2.1770589112176007e-05 -3.9263420907315614e-05 4.30015764622754e-06 -5.6298989981094025e-05 1.3556000250589546e-05 -8.085701522154394e-05 9.860914480972727e-05 -7.735302986747993e-05 -7.542831620912071e-06 -0.00011168939124345953 -2.9822715594607404e-05 -1.779642936390038e-06 -9.984769444645654e-05 1.8692898487980878e-05 -4.192778929783981e-05 2.346429033891805e-06 2.2361142033754663e-05 -5.310929826537987e-05 -5.300280108501185e-05 7.331890611745276e-05 -1.4667609939267353e-06 -1.5453479848015118e-06 2.1233122568793575e-06 2.2829002715089783e-06
yob 2.6952709376333836e-07 1.457952332353176e-07 5.084949945516037e-07 2.5727388444370964e-06 -1.9947557580224317e-07 -6.616125354218364e-09 3.309350106973185e-11 3.5189799140823634e-09 -1.7477462400815034e-11 3.5910701119395695e-06 5.573811189891195e-06 -9.926043046878723e-07 -1.0327387725549523e-05 -6.663169502593784e-06 -1.763094384412227e-06 2.4637469108919417e-06 -3.3427881386610634e-06 7.100399350075545e-06 -3.5504557804094128e-06 -6.830684873672161e-06 9.760020648371367e-06 -7.3270518717273736e-06 -2.235792567683262e-06 1.186427061182726e-05 4.070274466806665e-06 7.203707847056258e-07 -2.9842253852676614e-06 4.096645144304928e-06 -1.7308873313255822e-05 5.9829066716684426e-09 1.1195422748634196e-08 6.822222398994948e-09 2.7809478569372958e-08
age -5.0024495775832045e-06 5.084949945487921e-07 8.330726573683874e-05 0.0012533146302105534 -8.117641011723842e-05 -1.621791147053116e-06 9.885698204046127e-09 1.591064576424477e-06 -9.713715585861866e-09 2.883540351281177e-05 -7.289018468472632e-06 4.958798447567934e-07 -4.204021574851846e-05 -1.6416154069803163e-05 5.8032240150673323e-05 2.8960696713040058e-05 -4.041657465199486e-06 1.633201623637874e-05 4.20632967466784e-05 -1.1578957018734332e-05 -6.41837103692324e-06 -2.5518328979725157e-05 -3.0194867371499676e-05 3.70762597222248e-05 2.6927508257715515e-05 -2.9209084413093954e-05 -5.668817663472837e-05 -3.3865321837339075e-05 -3.507900368401595e-05 3.399896187311857e-07 3.259584238256551e-07 2.5698478755783636e-08 -4.333016193054881e-07
sex -2.6561290918419355e-05 2.572738844475276e-06 0.0012533146302102583 0.03410250838890494 -0.0021502541580872316 -2.4014521925004643e-05 1.4440742087216864e-07 4.143106964476508e-05 -2.497836551555542e-07 5.5917784604337664e-05 0.00029257360053372867 0.0002613911717759665 0.00023306607969954385 -7.006529374175993e-05 0.00027757755517947963 0.0007008416155862568 -0.0001568559216438136 0.0005693599625759105 0.0006900869361311296 -0.0002327397127212223 0.0002693755399358261 -0.0007395614194139075 -0.00017659653126552767 1.3470038905124846e-05 0.00016060827890394 0.0007034066030186748 -0.0007026833390649253 -0.00033694906440221036 -0.0008482359996651793 1.4119278091813573e-06 1.64321212019917e-06 1.3444629590630004e-05 -1.789702069835026e-05
age_sex 1.7689928998032965e-06 -1.9947557579639512e-07 -8.117641011720331e-05 -0.0021502541580869007 0.00013965772479432862 1.5877328595287183e-06 -9.697173930674575e-09 -2.746689907053487e-06 1.681723388312613e-08 -4.742165962184504e-06 -1.3067955851285118e-05 -4.849950245964832e-06 -7.923384646476276e-06 1.1147604456217358e-06 -3.097034513285561e-05 -4.263378047475475e-05 7.059370817626878e-06 -2.8808053858714596e-05 -4.6058240125493686e-05 1.7681715177557745e-05 -1.8612078212233484e-05 4.828615997658831e-05 1.7192313096663556e-05 -5.131896337722715e-07 -1.1616322926246248e-05 -4.178728496622795e-05 5.092797973723054e-05 2.7204539244631074e-05 5.626664905275487e-05 -6.159948871303086e-08 -1.7896555391043422e-07 -5.919164341449605e-07 1.146486406471625e-06
age2 9.266197919749843e-08 -6.61612535415486e-09 -1.6217911470531554e-06 -2.401452192501246e-05 1.5877328595295188e-06 3.2175548705600803e-08 -1.9899385116960833e-10 -3.164658275030275e-08 1.9595227557619554e-10 -3.882139177082731e-07 5.970354905673227e-07 1.6456374098576172e-07 6.650509793766325e-07 3.024049185949171e-07 -1.2661279574190013e-06 -5.783436342819618e-07 -1.1177703841909353e-07 -9.491405494663877e-09 -1.076165552705789e-06 -5.282296494861041e-08 3.4434548555025083e-07 3.043076754507844e-07 7.296320911853326e-07 -3.9342923724243743e-07 -2.9951188215159895e-07 6.810382452647788e-07 1.0472974355305008e-06 7.056514503824544e-07 8.17993048301576e-08 -5.298570452224155e-09 -6.044059771197724e-09 1.1940448920483877e-09 7.878499535135638e-09
age3 -5.305908332930638e-10 3.3093501069713913e-11 9.885698204046802e-09 1.4440742087222616e-07 -9.697173930680154e-09 -1.9899385116961533e-10 1.2461478367897682e-12 1.9595124210484673e-10 -1.2283177878132049e-12 1.3133287889862883e-09 -4.985388802207483e-09 -1.9818067581535578e-09 -4.4229814332397186e-09 -1.5514887881070646e-09 7.728943604204153e-09 3.6297984525141567e-09 1.4360537835627634e-09 -1.0271065612391506e-09 7.284604611245651e-09 1.348296087570235e-09 -2.6182026170219624e-09 -1.418933439891631e-09 -5.762196233913394e-09 1.4949220162716525e-09 7.438883359819446e-10 -4.784266314412656e-09 -6.534884664146174e-09 -4.2440483494250875e-09 1.8163643090541352e-09 2.4227475592542194e-11 3.655983551994495e-11 -1.455329774687556e-11 -4.5452033420430223e-11
age2_sex -3.626678185577463e-08 3.518979913980412e-09 1.591064576423541e-06 4.1431069644753374e-05 -2.7466899070531448e-06 -3.1646582750282393e-08 1.9595124210470826e-10 5.492398491242333e-08 -3.409838588967723e-10 8.740295549370016e-08 1.5628622116071077e-07 -1.0519236894806408e-07 7.506286334712405e-08 6.840306759050395e-09 7.781599184690571e-07 7.915351983680164e-07 -8.081495661858116e-08 4.495947191940948e-07 9.869546138204503e-07 -2.750329414887353e-07 3.729664829364112e-07 -9.265769934604251e-07 -4.782931150177015e-07 -2.976666921024452e-08 2.512498436746512e-07 7.340596171244939e-07 -1.0839433753951544e-06 -5.979329370843119e-07 -1.0611621154296897e-06 6.34607236323052e-10 4.637008030184105e-09 8.105014287542311e-09 -2.2172934320922964e-08
age3_sex 2.3210842466669598e-10 -1.7477462400277334e-11 -9.713715585855035e-09 -2.497836551554551e-07 1.6817233883122287e-08 1.9595227557604791e-10 -1.228317787812213e-12 -3.4098385889673796e-10 2.1436246646525844e-12 -2.9547554731797944e-10 -4.122288897719557e-10 1.707555432238085e-09 -8.802719162448195e-11 -7.87274200864151e-11 -5.535314690041252e-09 -4.499600678831986e-09 1.3345530630993727e-10 -2.2445103655822533e-09 -6.6609758622448595e-09 1.0681000422609022e-09 -2.294460393718228e-09 5.5756564664982425e-09 3.7510679598001134e-09 3.527370716686232e-10 -1.7228071926433666e-09 -3.964060788752878e-09 7.109831770290282e-09 3.567392591916867e-09 6.207633273241263e-09 -1.7503413553641688e-14 -3.4854934807244454e-11 -3.3741615226851704e-11 1.343838815702495e-10
PC_3 2.1770589112162766e-05 3.5910701119391676e-06 2.8835403512700285e-05 5.5917784601495224e-05 -4.742165962000788e-06 -3.882139177060825e-07 1.313328788972841e-09 8.740295549008911e-08 -2.9547554729585623e-10 0.03879219987235733 0.0006651793994627721 0.0034309342762971844 -0.0005676401107063394 -0.007626970143392672 0.0017194106750457144 0.005433880827996055 -0.005162364065096316 0.00012046660819677431 -0.0021044960472036975 -7.646403737501037e-05 0.007918323922493612 0.003604722681508881 -0.0017865828970215901 -0.014266954548706507 0.0020608399642514986 0.0001742872382013491 0.0044711322960761584 -0.0013438124229516097 0.00709394528107555 -1.0432736450357866e-05 -1.3321768518289192e-05 9.715795217841812e-05 7.38323062572337e-05
