 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal gpp gmp
intercept 0.0018713140520076007 -4.535740186793488e-06 0.0004102513299863667 -0.0015083592437267898 9.994173009590098e-05 -1.2909771790854905e-05 1.2392907948211e-07 -1.9337133919988223e-06 1.0608521284033067e-08 -0.0009526857519367111 0.0002683703414034786 -0.0007687085424120069 0.0006455196198991932 0.0009393850460154468 -0.0008355848902486254 -0.0009534288963523377 -0.00036366400273521736 -0.0007767959780977074 -0.001459342954664849 -0.00020169656334343233 -0.0007702492714973577 -0.00041546856981007965 0.0007684826888418919 -0.0007373445334576882 -0.0007736122897789145 -0.0004274378405549956 -0.0005184426349057366 0.0007879339475334509 0.0015250651204327486 3.5542209543386236e-07 8.758991489435368e-06 -1.3006379063198282e-05 -1.2296793281363604e-05
yob -4.5357401867829485e-06 1.4280800486129014e-06 1.3281134496393185e-06 3.1214983220950377e-06 -6.620110563311563e-07 -5.514890866239642e-09 3.681033163782444e-11 1.7471939579125257e-08 -1.2331135857411174e-10 1.1135041327304696e-05 0.00018363066031985655 5.638523897353925e-05 -0.0001394071250868145 2.806220891985343e-05 -0.00010470865587052559 -1.5270830480998547e-05 -6.445865173845728e-05 0.00012289890958750663 4.4762567839105615e-06 -0.00011049450772403186 8.929164746688471e-05 -0.000125245628425664 -2.5296555222354556e-05 0.00013731761494810427 8.595048820437092e-05 9.770794888587606e-06 -2.2015497777521762e-05 8.108051155831227e-05 -0.00017796353574716286 -6.505528487736884e-08 -2.4849416868440093e-07 3.1396801528833017e-07 1.6789917686851438e-07
age 0.00041025132999165676 1.328113449626453e-06 0.0006079225749314806 0.006915635814729704 -0.0005893590978743987 -1.583607208851553e-05 1.2886711471935605e-07 1.539458992726311e-05 -1.2536267360716226e-07 4.608421801657489e-06 -3.692089259928317e-05 -0.00031657584086420496 -0.00023925505109968984 -0.00014522633996403547 0.00013560653010806568 -0.00038929447241983013 -0.0007503605232761098 -4.603605615005773e-05 0.00042300404794316863 -4.0873223335437146e-05 -5.975185045433619e-05 0.0003110283693823298 0.0004033197773069984 -0.0005016725688859511 0.0001557631811915954 0.00018791631623358822 0.00023590490573131858 -0.00046877652532304056 -0.00012400109776548155 -1.4998288291619384e-06 -1.2979630462926758e-07 -1.508592765247688e-05 1.583233166349311e-05
sex -0.0015083592436120619 3.121498322427386e-06 0.006915635814795866 0.18736690084702273 -0.015162712473297488 -0.00017472095900686002 1.3858367115553281e-06 0.0003814589519310794 -3.0196495496143686e-06 -0.0008020207342882452 0.00010409133147909278 -0.0005665237943824935 0.005448140091069395 -0.0017741006563921854 0.0033133391863726944 -0.0011275415762252695 -0.01263813994540487 -0.006795621468633895 0.011171406252023439 -0.004104910741084563 6.0534555521531845e-05 -0.004612349561155557 0.0030379112529333304 -0.016847154732498582 -0.0006348093347563901 0.007208595000527708 0.006686546209706657 -0.007002581719242752 -0.0065095985287429116 -2.904619509152596e-05 8.824060827701378e-06 -0.0002226776237423312 0.0001619273152881139
age_sex 9.994173008603515e-05 -6.620110563438875e-07 -0.0005893590978800022 -0.015162712473296449 0.001267535366409298 1.539464539519456e-05 -1.2545242598428146e-07 -3.273480743305629e-05 2.647251484633238e-07 4.213463782407672e-05 -1.4692408689093041e-06 2.9396107567851952e-05 -0.0004498273404613018 0.0002027463441252108 -0.00024569925567293497 0.00012247514549555623 0.001004608200547327 0.0005831802920220732 -0.000842629911633165 0.0003848955203370914 -0.00012967944593496563 0.0003821215128087494 -0.00012973031895788768 0.001444950378437059 0.00019481824234886234 -0.00029913801776831726 -0.00047604052185297376 0.0005953130484905665 0.000473716028680975 3.3241215360678053e-06 -3.834576553110592e-07 1.607490918237259e-05 -1.3196767699002866e-05
age2 -1.2909771790992795e-05 -5.514890866138026e-09 -1.5836072088515423e-05 -0.0001747209590050972 1.5394645395044982e-05 4.2552405147915663e-07 -3.5504841445161354e-09 -4.1413617390021377e-07 3.4578775078143844e-09 2.0493942159588995e-07 5.757398346274902e-06 9.06610157599911e-06 1.0789956263408424e-06 7.107519317615248e-06 -5.764591768701994e-06 1.0737473443375603e-05 1.6664282576616906e-05 5.671197611810431e-06 -1.0037883499542581e-05 1.885092238378077e-07 1.7622345836027923e-06 -9.576753381801456e-06 -1.0815327832016292e-05 1.618317963982922e-05 1.5154769829497743e-06 -4.4552986242885863e-07 -7.423531641627366e-06 1.0687281359223227e-05 3.357867983960478e-07 5.5452351893073935e-08 1.3272559756146703e-08 3.244407905404999e-07 -3.620658956240454e-07
age3 1.2392907948324587e-07 3.6810331638890443e-11 1.288671147193547e-07 1.3858367115406467e-06 -1.2545242598303611e-07 -3.5504841445160887e-09 3.028995640686627e-11 3.459795361100618e-09 -2.9534536546811196e-11 -6.013838357276964e-09 -4.05200873274975e-08 -7.300891525023427e-08 9.935929285106996e-09 -7.026080583662927e-08 4.0551375996072346e-08 -9.548068236451326e-08 -1.2592083613176568e-07 -6.15000202084941e-08 6.603004349049842e-08 -1.9026647253456933e-08 -2.9279983859142624e-09 6.631119443928479e-08 8.262476749597044e-08 -1.2752930340431785e-07 -4.67085004340177e-08 -3.476994945575377e-08 6.127904233721751e-08 -6.17028555932072e-08 -1.586363500329636e-08 -5.571228568645973e-10 -1.8846530510452453e-10 -2.1543082443973862e-09 2.589549910835895e-09
age2_sex -1.9337133917387662e-06 1.747193957966413e-08 1.539458992741074e-05 0.0003814589519310448 -3.273480743305568e-05 -4.1413617390414887e-07 3.4597953611333764e-09 8.655775569490414e-07 -7.144571710777267e-09 -6.521018606763315e-07 1.6930567419682277e-07 1.4223828634280952e-08 1.2229285303423914e-05 -6.918412384458067e-06 5.606415364284093e-06 -2.844599162869258e-06 -2.500249386431004e-05 -1.600494017773581e-05 1.9285380163873694e-05 -1.1035974646204459e-05 5.984609049631586e-06 -8.910097055177677e-06 -9.562093184805833e-08 -3.684213138972311e-05 -9.762292342623007e-06 -3.813884633666717e-07 1.1123570138648339e-05 -1.656104555230511e-05 -1.2222464778662057e-05 -1.0540511591401155e-07 -1.4161075552437616e-09 -3.572874308168594e-07 3.307347825625851e-07
age3_sex 1.0608521281820227e-08 -1.2331135857458675e-10 -1.2536267360837865e-07 -3.0196495496140963e-06 2.647251484633205e-07 3.4578775078468153e-09 -2.9534536547081193e-11 -7.144571710777322e-09 6.008959760127855e-11 3.044688298288796e-09 -2.7689317473515898e-09 -2.7436105031518828e-09 -1.1026846140904482e-07 7.230451888559866e-08 -3.763430625874117e-08 1.6727215349837588e-08 1.9281910081640608e-07 1.3894663858383278e-07 -1.340359133434182e-07 1.0383437500056924e-07 -6.594421709555579e-08 6.259201719518999e-08 2.9138929329684507e-08 2.8378878987325786e-07 1.2666429077670438e-07 6.79683452119512e-08 -7.947118067675335e-08 1.4506044255807345e-07 1.0926414138828255e-07 9.89655745619485e-10 6.88707975904791e-11 2.5175840239400995e-09 -2.5913080496300993e-09
PC_3 -0.0009526857519369163 1.1135041327304828e-05 4.60842180215782e-06 -0.0008020207342741624 4.213463782289445e-05 2.0493942158281515e-07 -6.0138383571703455e-09 -6.521018606456479e-07 3.0446882980393864e-09 0.3130721718518738 -0.018366438513786495 0.0012223709022261464 0.020895227951414047 -0.011701227115257794 0.03190817044164766 0.027964403767610693 -0.07631296948107373 -0.03406695447511971 -0.03212735179714261 0.04517167667171432 0.027094220841209632 0.06570642074714309 -0.029204485414332213 -0.15148608642186873 -0.032228833030085315 -0.022282258485683125 0.058385708072990636 -0.027239003189683027 0.08921280235371913 -0.0003081672358628905 0.00025036912068421676 -0.0005768423208554627 -0.00022030934443257105
