(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal gpp gmp
(Intercept) 0.000973527476354261 0.000759944994548929 9.1037582193844e-05 -0.000102060874563801 -4.94499514635246e-05 3.50769575969661e-06 2.01922321848226e-05 7.5567929669288e-05 -0.000110430779601319 -4.3182497709491e-05
covarage 0.000759944994548929 0.00217220768819194 0.0024117445516575 -0.00346336101170902 -3.14093124851624e-05 8.64255969108551e-05 1.1886269196423e-05 3.66027635514466e-05 -5.82695871718382e-05 -2.64835396980674e-05
covarsex 9.1037582193844e-05 0.0024117445516575 0.0060454346298164 -0.00793184105948359 -1.67543232052203e-06 2.80532517601867e-05 1.59377086805809e-05 3.63246530630621e-05 -9.59352085611246e-05 1.69531594851207e-05
covarage_sex -0.000102060874563801 -0.00346336101170902 -0.00793184105948359 0.0112826043411211 8.373765238225e-06 -2.13499793222058e-05 -1.82404625814029e-05 -6.24807297958035e-05 0.000139757056223915 -1.86846397891127e-05
covarPC_3 -4.94499514635246e-05 -3.14093124851624e-05 -1.67543232052203e-06 8.373765238225e-06 0.000514691162686938 -3.89248992476167e-05 -2.71330273000774e-05 1.83428176713884e-05 -7.13568241897963e-05 -5.75165097335047e-06
covarPC_4 3.50769575969661e-06 8.64255969108551e-05 2.80532517601867e-05 -2.13499793222058e-05 -3.89248992476167e-05 0.00050856653058328 1.25812330793468e-05 -2.41480544746558e-06 7.91777597957157e-06 2.12910405099511e-06
proband 2.01922321848226e-05 1.1886269196423e-05 1.59377086805809e-05 -1.82404625814029e-05 -2.71330273000774e-05 1.25812330793468e-05 0.000664476229168877 -0.000328191924212497 -1.37277663186036e-05 -5.0819225658903e-05
paternal 7.5567929669288e-05 3.66027635514466e-05 3.63246530630621e-05 -6.24807297958035e-05 1.83428176713884e-05 -2.41480544746558e-06 -0.000328191924212497 0.00368614470353895 -0.00301331178017734 -0.00270049698694862
gpp -0.000110430779601319 -5.82695871718382e-05 -9.59352085611246e-05 0.000139757056223915 -7.13568241897963e-05 7.91777597957157e-06 -1.37277663186036e-05 -0.00301331178017734 0.0139284293017078 -0.00817994465970688
gmp -4.3182497709491e-05 -2.64835396980674e-05 1.69531594851207e-05 -1.86846397891127e-05 -5.75165097335047e-06 2.12910405099511e-06 -5.0819225658903e-05 -0.00270049698694862 -0.00817994465970688 0.0133121017090379
