 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 2.0398282581249646e-05 -1.2652383442959667e-07 -5.66553741063746e-07 9.465784379564262e-09 -3.566286022052164e-11 1.4725596280977806e-05 -3.605447750262919e-05 -1.293436003644183e-05 -7.623169247230719e-05 0.0001058333422555664 -0.00012729531848186052 9.83069303050952e-05 -7.347808028924673e-05 -2.2387173416467083e-05 -0.00014366691085855666 5.372439309217355e-05 -6.49603522086143e-05 -8.234468536452515e-05 -4.426893832467129e-05 -8.763000535644859e-05 -2.9849382311975394e-05 -1.297393370384168e-05 -6.807908663695512e-05 -0.0001488900635539871 0.00014652445040445956 1.6132401886813768e-07
yob -1.2652383442957946e-07 2.2436090140524276e-07 4.0282068313969224e-08 3.6376376301656204e-09 -2.5261278932296715e-11 -3.3051925251927504e-07 2.301633975144618e-05 8.856006828050513e-06 -1.5945382210255528e-05 -5.8208154353914e-06 -7.052953956437029e-06 -1.287696598618079e-07 -9.863083094790499e-06 1.299421702774134e-05 -5.4141314940165905e-06 -1.3989897710812919e-05 1.6333656187836805e-05 -1.1999639547837747e-05 -6.748086682148761e-06 2.1907247611465917e-05 7.808998283473754e-06 -2.032373007431577e-06 -1.8834856422300737e-06 1.2899206291359825e-05 -2.8069631793101127e-05 3.695093765014127e-09
age -5.665537410641328e-07 4.028206831395909e-08 1.0490022266640329e-05 -2.2740571783373416e-07 1.5035962902855753e-09 -1.0695923358786929e-05 1.814579160261195e-05 1.0188336048096291e-05 -2.0752450880738338e-05 3.49058837394395e-05 -2.4971186133528043e-05 -8.004690506972032e-06 -2.49456693266946e-05 1.3152964899647672e-05 4.05318738493449e-06 1.72896027228373e-05 -6.1120036287119356e-06 1.8823294095170562e-05 -2.1630441343788445e-05 1.015279212935604e-05 -1.0540426463960585e-06 -2.0132101329462653e-05 -1.0523848312807514e-05 -3.788809453650596e-06 3.408454822535983e-05 -2.1811794819334617e-08
age2 9.465784379576503e-09 3.637637630165873e-09 -2.2740571783373064e-07 5.2226081810458485e-09 -3.561231104490017e-11 2.919395208076114e-07 2.815273656606484e-07 -2.5530608699186674e-08 1.2851635770355389e-07 -6.357747054105064e-07 3.7585300092681334e-07 6.452321013866785e-08 2.0192449565303122e-07 1.5132785826235726e-08 -2.2982087119216437e-07 -5.905392205999113e-07 3.6268682704216345e-07 -5.746891823989527e-07 3.889883249568889e-07 2.0933931886337558e-07 3.3939591107457926e-07 3.9212946624358754e-07 1.4832509178101564e-07 2.1219807256290416e-07 -1.3328049203156816e-06 7.876174891077354e-10
age3 -3.566286022054029e-11 -2.5261278932298585e-11 1.503596290285532e-09 -3.561231104489974e-11 2.489410568617958e-13 -2.348126811073122e-09 -2.6659973148816154e-09 1.7000200625305416e-10 -1.0957426357143505e-09 3.794787814403532e-09 -2.787201921684203e-09 2.210823068794599e-10 -6.516006627481009e-10 -4.760132818135629e-10 1.1301660767422639e-09 3.5830420134835766e-09 -2.1866291600379936e-09 3.382999063759615e-09 -3.033940547577809e-09 -1.7836802371697803e-09 -3.2890413286078012e-09 -2.593946698545369e-09 -9.668158764113233e-10 -1.1067479276771292e-09 9.618901436578408e-09 -6.550378086306976e-12
PC_3 1.472559628097745e-05 -3.305192525192736e-07 -1.069592335878534e-05 2.919395208075795e-07 -2.3481268110729297e-09 0.052159963700804904 0.001398555124159283 0.0022766107816623747 0.0008123753955809196 -0.007525299260767765 0.003763992769428507 0.008423303267487109 -0.006158032038060299 -0.002241517756494484 -0.0019422646330438797 0.003775362607161276 0.008376597745326179 0.006436009462282586 -0.004360094809926502 -0.017595424845308023 -2.5550836227989337e-05 -0.0018417864448833636 0.004864393089550359 -0.002925700618709853 0.011065322665857203 -6.91011265475208e-05
PC_4 -3.6054477502630085e-05 2.3016339751446165e-05 1.814579160261518e-05 2.815273656605756e-07 -2.6659973148811245e-09 0.0013985551241592906 0.17941305781276085 -0.008226322839197716 0.009419234406034682 -0.009973497321771574 -0.0005749462990051447 -0.005426648792818849 -0.001498018193352538 -0.014399236341309674 0.004166737542656112 0.009981533751565392 -0.019644944680637096 -0.011657603215787864 0.013285223916973957 0.01103194242395841 -0.005500185633001047 0.006023959619193493 -0.00585476489166724 -0.0007830027756285508 0.007920793815576468 5.7205246334001264e-05
PC_5 -1.2934360036441643e-05 8.85600682805051e-06 1.018833604809603e-05 -2.5530608699182218e-08 1.7000200625303252e-10 0.0022766107816623764 -0.00822632283919772 0.23447616819020412 -0.0037786170847411717 -0.007144093448057175 0.0005442572379385202 0.005390433848357818 -0.015896564391096758 -0.0016629636206333578 -0.018419340450728926 -0.01334176903454752 0.0004630616638027207 -0.017180147421114088 0.014071615738312974 -0.026696240872504245 0.006784690204637165 0.004736161572632063 0.0005173093452762198 -0.004853606490454758 0.017758952845761383 2.6587811849611044e-05
PC_6 -7.623169247230727e-05 -1.5945382210255433e-05 -2.075245088074304e-05 1.2851635770366728e-07 -1.0957426357151492e-09 0.0008123753955809207 0.009419234406034689 -0.0037786170847411765 0.2919150185379575 0.003811921649802921 0.01432936604328541 -0.014363459100972939 -0.009576361376884803 0.007465197726941544 -0.014720233318248042 -0.0009036935425217389 -0.000416122734436632 -0.02521199436242492 0.01441534952687468 0.03005163926910145 -0.008392085114542801 -2.3280840549980942e-06 -0.009116295658245718 -0.0030361262748356778 -0.013731083204243589 5.575745443304359e-05
PC_7 0.00010583334225556634 -5.8208154353914635e-06 3.49058837394411e-05 -6.357747054105531e-07 3.7947878144039e-09 -0.007525299260767776 -0.009973497321771595 -0.007144093448057175 0.0038119216498029335 0.3648105592341209 0.014922782026165957 -0.0010893931679764176 -0.017003393259914786 0.02005814496408685 0.005076230561161568 0.03318076672868167 0.011238738215029553 -0.03827295954625886 -0.025864545844226868 0.029208784628749825 -0.010560533989032818 -0.011674264347817463 0.000640104886329317 0.009913264348785547 -0.016860341549367615 6.168432980478004e-05
PC_8 -0.0001272953184818601 -7.0529539564369186e-06 -2.497118613353262e-05 3.758530009269266e-07 -2.7872019216850222e-09 0.0037639927694285086 -0.0005749462990051298 0.000544257237938512 0.014329366043285408 0.014922782026165943 0.39150568909046995 0.019276705524043307 0.013349212198816534 -0.009326247686338262 -0.004032361419756859 -0.019808306366555065 0.01641689440011121 0.033754504834193365 -0.01992686653545081 0.012745062899786126 0.024091959798893864 0.007527777919835722 -0.006401425792094148 0.004851095454839195 -0.015265899571836104 -5.235545086433083e-05
PC_9 9.830693030509529e-05 -1.2876965986181644e-07 -8.004690506972467e-06 6.452321013867799e-08 2.2108230687938863e-10 0.008423303267487109 -0.005426648792818854 0.005390433848357817 -0.01436345910097293 -0.0010893931679764222 0.019276705524043317 0.5258620208321563 0.011982011517745791 -0.00042314432690213527 -0.0313450199466801 0.024248788795751396 -0.0042992772561034195 -0.0021139927480579054 -0.0234521680558671 -0.012567661626889614 -0.012743629544563517 -0.0036673974772176276 -0.002876377370614221 -0.013683924922173121 0.028928975197625932 -4.560625556772997e-06
PC_10 -7.347808028924673e-05 -9.863083094790438e-06 -2.4945669326698865e-05 2.019244956531343e-07 -6.516006627488295e-10 -0.006158032038060292 -0.0014980181933525263 -0.01589656439109675 -0.009576361376884777 -0.017003393259914804 0.013349212198816537 0.011982011517745788 0.6208812053343417 0.027704226545056405 -0.005667789757599056 -0.00581114231883983 -0.002488162741455561 0.01896104645488145 0.003041868210860369 -0.006867302492090934 0.02134891474634336 0.007120821567878505 -0.01389762696101673 0.006110490033685761 -0.012346946452561607 -4.8492176286567215e-05
PC_11 -2.238717341646717e-05 1.2994217027741327e-05 1.3152964899648737e-05 1.513278582621e-08 -4.760132818133821e-10 -0.002241517756494481 -0.014399236341309673 -0.001662963620633362 0.007465197726941544 0.02005814496408685 -0.009326247686338267 -0.00042314432690213354 0.027704226545056405 0.5870315449753568 0.006163459033890973 -0.006174431022239266 0.03060635460763486 0.028224197671143723 -0.008978711162045305 0.020104098417468994 -0.02820809795755787 -0.01791611989966179 -0.0006725708132781511 -0.007167040051416053 0.046224750969878006 1.087873663402036e-05
PC_12 -0.00014366691085855718 -5.414131494016524e-06 4.053187384931628e-06 -2.2982087119209758e-07 1.1301660767418091e-09 -0.0019422646330438775 0.004166737542656123 -0.01841934045072895 -0.014720233318248031 0.0050762305611615635 -0.004032361419756853 -0.031345019946680104 -0.0056677897575990585 0.006163459033890979 0.6602334558562499 0.031438770872357434 -0.013133906014697784 -0.024086420829183625 0.008726298275198859 0.033451435472998656 0.027361208343605593 0.01856401660116036 0.02210504314928849 0.020568770073678737 0.010254167297233089 3.5297691294213246e-06
PC_13 5.3724393092172795e-05 -1.3989897710812968e-05 1.7289602722838422e-05 -5.905392205999445e-07 3.5830420134838388e-09 0.0037753626071612705 0.00998153375156538 -0.013341769034547505 -0.0009036935425217286 0.03318076672868164 -0.019808306366555076 0.024248788795751375 -0.005811142318839829 -0.006174431022239257 0.03143877087235745 0.6884502125114645 0.03511516036222794 -0.0024980483809357227 -0.012188997470989955 0.028725240759989803 0.027190923619509234 0.00932913253995195 -0.033477280990907986 -0.025482852057489982 -0.01503749098819025 6.099135379487691e-06
PC_14 -6.496035220861275e-05 1.633365618783682e-05 -6.112003628712635e-06 3.6268682704218325e-07 -2.186629160038152e-09 0.008376597745326184 -0.01964494468063709 0.00046306166380270553 -0.0004161227344366383 0.011238738215029562 0.016416894400111223 -0.0042992772561034195 -0.0024881627414555627 0.030606354607634872 -0.013133906014697785 0.035115160362227955 0.6686864620533285 -0.0026398685637741477 -0.0017577616585371175 0.014513150829877131 -0.0033579168355723785 -0.006036706553158936 -0.0015681858497909608 -0.05127410466280201 0.020482107553418363 -3.21644488204563e-07
PC_15 -8.234468536452397e-05 -1.1999639547837765e-05 1.8823294095169905e-05 -5.746891823989435e-07 3.3829990637595917e-09 0.006436009462282577 -0.011657603215787862 -0.017180147421114088 -0.025211994362424914 -0.03827295954625887 0.03375450483419333 -0.002113992748057894 0.018961046454881454 0.028224197671143703 -0.02408642082918361 -0.0024980483809357297 -0.002639868563774147 0.7711617086944251 -0.011254442763368247 0.012391158715664026 0.006577321365214223 -0.005193701638702755 0.00279063595864203 0.003430983776874782 -0.024092467514598447 -6.414778788045149e-06
