 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gp gm
intercept 0.11830314650281007 1.845471811427957e-05 -0.151807288355933 0.002620534541168585 -1.4753811748519196e-05 -0.061638267718528025 -0.004467591268877408 -0.029383412342111958 -0.01500915423490523 0.09221025597781231 -0.059115240777545194 0.03930331699630084 0.05365171327085018 0.0181534827545068 -0.060903561721613694 -0.01820679334971425 -0.017646612378062882 -0.10629022908242879 -0.10472659460329516 0.04036212483982547 0.03276464441893537 -0.012234550984514125 -0.1468775591364976 -0.05181455349582434 0.011943323873450663 -0.0013010784253090159 -0.0011790179975724147 0.0010136708216559017 0.0013879038667306408 0.0004407609522312809
yob 1.8454718114354432e-05 1.764227082754543e-05 -5.396129185610894e-05 1.2140559291082517e-06 -7.25278435671204e-09 0.0006740698604707785 0.0015718819652691938 0.000451069999732141 -0.004074789418707241 0.0012035760303473 -0.0011445039684876816 0.0006705938230686157 -0.0007762701838377407 0.001989080569767188 -0.0006496289856874937 -0.0006358229609593466 0.005479030445536915 -0.0023612602716758303 0.001443617559105831 0.0006672509562406945 0.002209306775188239 -0.0013633768825745797 0.0006620800705133439 -0.00032142994131313684 -0.0018208685004307988 -1.3844432165131776e-06 4.672270271046632e-07 -2.0183539268442638e-05 -1.23943569545614e-06 1.2704596543650512e-05
age -0.15180728835613816 -5.396129185567183e-05 0.43351677738019945 -0.008169597558330256 5.0832193496830304e-05 0.020253412752493056 0.013937023081327876 0.0020381239996394326 0.12167102225099512 -0.1155017188209112 0.12181129135849607 -0.13381897309603208 -0.025149958651406217 0.10104154044103345 0.1775408225737243 -0.1875503365967349 -0.25118851678149845 0.35858115454966927 0.11032704315414213 0.06547337925888161 -0.07091325262262295 0.09081047806347163 0.14807257170836002 0.11050156819327808 -0.07683726099155005 0.002267869059325668 0.002192340808246035 -0.001983002983277827 -0.0022320159406852007 -0.00028764485541198434
age2 0.002620534541172755 1.2140559290966639e-06 -0.008169597558331042 0.0001548975350336969 -9.696878146905513e-07 -0.0002094441249766262 -0.0002381585572832425 8.404126020759086e-05 -0.0024458939415188106 0.00205659185802288 -0.002338672355673441 0.002579949706077694 0.0002666305080883386 -0.002135600651408023 -0.0034826995689188843 0.003861035454473334 0.005113261252752562 -0.006907923590262986 -0.001887462037535294 -0.0015585831643956884 0.0012560582665171922 -0.0018452789196227754 -0.0024795672716148996 -0.0020138740331372054 0.001545698741887919 -4.068493112916949e-05 -3.9544503163921335e-05 3.6322169397013325e-05 3.936503954025935e-05 4.115696908569138e-06
age3 -1.4753811748547016e-05 -7.252784356646944e-09 5.083219349684004e-05 -9.69687814690644e-07 6.107981788882924e-09 2.5006477478823717e-07 1.4482110033105847e-06 -1.3288671447647415e-06 1.5896155016702604e-05 -1.194070645505188e-05 1.444241994694826e-05 -1.6621632974591418e-05 -3.696382809210288e-07 1.5209315555633523e-05 2.2344945410677338e-05 -2.5976556895721083e-05 -3.411575736027502e-05 4.373232483615717e-05 1.0505235322569816e-05 1.1892807090839338e-05 -7.120979326167765e-06 1.1991498622671031e-05 1.359899805389192e-05 1.221112652559916e-05 -1.0167231992193713e-05 2.4042864692050877e-07 2.348596188363911e-07 -2.2007704815268897e-07 -2.2768408388615615e-07 -1.781112858583345e-08
PC_3 -0.06163826771847813 0.0006740698604708076 0.020253412752322474 -0.0002094441249733784 2.5006477476777656e-07 3.372704215306251 -0.3037813295604473 0.09281059848739819 -1.107358421171368 0.835533163864896 0.6696050478595766 -0.63617582358385 -0.6862779420632205 -0.5886576796103796 -0.7581619431406291 0.47938712656860744 0.6559997799784829 -0.5942790210920601 -0.3229714142006457 -2.0379164586385063 -0.8743541047583092 0.011487059460985093 1.6654648020269802 -0.4528747929453069 1.777554784378052 0.005268129913851334 -0.0008282958803090501 -0.011995613381113117 -0.006068219990101633 0.0035650443682286007
PC_4 -0.004467591268871869 0.0015718819652692085 0.013937023081293845 -0.00023815855728257472 1.4482110033063093e-06 -0.3037813295604425 11.58667506405607 1.089289648851769 1.2827076267040436 0.9343523321689204 -0.8959769160592524 -1.913997920542516 2.9412037103832107 -2.6260168857582094 1.7730488153111998 1.8251444240941825 1.7958346787961263 -1.4288569427799545 3.754485154257688 -2.090378829195475 -2.228420376867963 -0.3582639273865112 -2.2364419037431422 2.3032710671000216 0.9305186863503863 0.0038037158346817383 0.00881812865157306 0.01742391233986382 -0.007016739594857582 -0.019864338291283024
PC_5 -0.02938341234207384 0.0004510699997321516 0.0020381239995271236 8.404126020972676e-05 -1.3288671447779664e-06 0.09281059848739358 1.0892896488517563 13.751696785757613 -0.7265931872826198 -0.39192325759188 -2.768388467331751 -0.7113714283916879 -1.3632516542291495 -0.5341820676486048 -2.9792361699212124 -2.2419025684166836 1.9565864776262238 0.7562816442157947 1.2435916330642312 -3.3570134604804482 -6.128857938814096 -3.433909198842613 -1.186278582184952 -1.7537275482924528 0.7737931616654906 0.004536803157221715 0.016810564212887787 -0.0035748966699796292 -0.009309038997828385 -0.0038939107268054786
PC_6 -0.015009154235043568 -0.00407478941870707 0.12167102225123279 -0.002445893941523118 1.5896155016728076e-05 -1.1073584211713146 1.2827076267040636 -0.7265931872825941 22.292584097980388 -0.07769980329714643 -3.672583731423497 1.8155678169760854 -1.8227635217827356 2.345074692299642 2.3494514298849687 0.3640137454783651 -1.262546423804103 -2.1170117654840865 -0.22887547837651612 3.7762665638542723 0.7890540794943041 2.0025759785817723 -4.242812712922508 2.1950167554585147 0.141898182017444 -0.002282663724480105 -0.0182668980947343 0.005615604914369641 0.023780076190342885 0.0004243548969960455
PC_7 0.09221025597781866 0.0012035760303471935 -0.11550171882077337 0.0020565918580200604 -1.194070645503297e-05 0.8355331638648615 0.9343523321689058 -0.39192325759189917 -0.07769980329704812 28.926040650497924 -0.7573441436755843 3.9270255552975004 -1.9894978432641766 -0.6641297685013179 4.341548338794123 -2.1083465478993215 5.081670090599663 -2.2980570719663382 -1.4752322600522236 5.729230057432362 -1.7861975185073773 -3.0529833348839928 -4.332849251403068 2.3518605116884883 -2.9512497569344274 0.008569545328720845 0.024290850035275702 0.009366016562750969 -0.036396834468915715 -0.003693963039984293
PC_8 -0.05911524077761049 -0.001144503968487563 0.12181129135851806 -0.0023386723556736186 1.444241994694767e-05 0.6696050478596245 -0.895976916059241 -2.7683884673317163 -3.672583731423566 -0.7573441436756372 30.376065864886296 -0.8528037889014121 2.782119500658469 3.863299106073202 -0.2306005705972081 2.705496165585267 0.9622013664454757 1.253409967295866 -3.3449708505522744 1.8828923110755065 3.772470004459413 -1.1585089108397224 5.212042426009685 -0.02316826893833391 -5.386754232207008 0.015472153181426421 -0.030577127937473234 -0.02312720725354372 0.01616623501955872 -0.0035038095001883648
PC_9 0.039303316996367986 0.0006705938230684977 -0.1338189730960413 0.0025799497060776276 -1.662163297458944e-05 -0.636175823583904 -1.9139979205425186 -0.7113714283917272 1.8155678169761618 3.927025555297548 -0.852803788901406 36.575223808190046 4.066895312144934 -1.6502596274127046 -1.1634208262655785 0.34727971858874873 -0.44490638572570734 -0.5998406422735506 -2.690050752746442 -1.3510160061771475 2.286433055042914 4.0355261861677345 -5.2137605623020296 -1.9900429805718174 1.8422755914259703 0.007763352284818889 0.020535316628227412 0.010854098677332301 -0.026113924194032325 -0.013948086659285866
