 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
intercept 0.018991365053820257 2.330521189525075e-05 -0.013059799087768893 0.0001891840952797035 -9.018049576118373e-07 -0.00023932476159556516 0.0018883707159352858 0.0010613576458775207 -0.0024011339107558724 -0.0001763554518687536 -0.0015315312518639002 0.001383992027911993 -0.0007260399190031346 0.001357216573708045 -0.0021903427489912836 -0.00247626780218781 0.003384183033250035 -0.0026669749430263115 -0.0011916422532528392 0.000523602899177327 0.0038745575114936225 0.0003398121640044552 0.00013836310298271151 0.0009090054904844142 -0.002812210038594995 -2.0780156876208443e-06 2.3667864620143774e-05 -1.8654004329998038e-05
yob 2.330521189526303e-05 4.2968297220390227e-07 -1.1401439968772076e-05 1.5729789059957419e-07 -6.982052721125172e-10 2.1770569097531178e-05 1.002577677253346e-05 -1.8710350818129845e-05 -4.8245584982316104e-05 -2.2106020691703232e-05 1.7673551303668994e-06 1.5148058261973584e-05 3.7155221699931445e-06 2.287390719736781e-05 -1.1854815442792976e-05 -3.280644908233274e-05 3.772113106379537e-05 -2.065168018308955e-05 -2.4244127874770015e-06 2.9568424548141863e-05 1.198348662776934e-05 2.974152799328967e-06 -1.3978469804981021e-05 6.597128433049696e-06 -5.462164611895905e-05 -2.1649599096467877e-08 1.1445030274345255e-07 -1.4924597455567839e-07
age -0.013059799087774058 -1.1401439968768913e-05 0.00933876730024924 -0.00013665162788249361 6.580674080304155e-07 0.00022611139272261688 -0.0008542916413249823 -0.00044259338781318876 0.0011285649039024556 1.0090720980408032e-05 0.0008157296263495236 -0.0007383612004582607 0.00043139530352916453 -0.0005995227405602164 0.001220945492823307 0.00128473544008387 -0.002021461019677324 0.001262600284524895 0.0008489395282285427 9.876560248853251e-05 -0.002481197414659939 -0.00017533933376344055 -0.00043770210223568595 -0.00032927827542445686 0.0014039709990223905 1.909189028629612e-06 -1.4517718648179738e-05 9.796169266784018e-06
age2 0.00018918409527980622 1.5729789059975492e-07 -0.00013665162788251107 2.005591925179636e-06 -9.687680599398145e-09 -2.8704247697077994e-06 1.0969210989912342e-05 4.926872522415959e-06 -1.54639798549949e-05 6.507077327457208e-07 -1.1600746653745754e-05 1.0198258846320446e-05 -6.409951068720221e-06 7.991583266049896e-06 -1.800933915527017e-05 -1.782882833958752e-05 2.853173618210533e-05 -1.7112626186030557e-05 -1.1863103472087841e-05 -2.9061520494119136e-06 3.5438742428566496e-05 2.700997127303968e-06 7.091239179474597e-06 3.0988596616043976e-06 -1.886302677366175e-05 -2.7077320086645423e-08 2.001463120138017e-07 -1.3310386246724429e-07
age3 -9.01804957612438e-07 -6.982052721125822e-10 6.580674080305843e-07 -9.687680599399387e-09 4.694186563183403e-11 1.1655410625736273e-08 -4.5604391963753814e-08 -1.7975837427356682e-08 6.682389365515509e-08 -6.769650437781602e-09 5.377384121598562e-08 -4.515555597586909e-08 3.185112952050146e-08 -3.489650363684645e-08 8.709364721118099e-08 8.078106638643254e-08 -1.315150490601756e-07 7.551501019507588e-08 5.3206480409504816e-08 2.171750291475263e-08 -1.6768195063662444e-07 -1.417645492520641e-08 -3.8542017487721654e-08 -6.423259630016105e-09 8.329639452618786e-08 1.2192121040870903e-10 -9.008607935970397e-10 5.907037085047487e-10
PC_3 -0.0002393247615919674 2.1770569097534017e-05 0.00022611139271993042 -2.870424769667962e-06 1.1655410625541861e-08 0.09727117207323543 -0.0016533746100142212 0.0014665186642340762 -0.011493886334730447 -0.01774324332096413 0.013700440397323368 0.0032717607466515516 -0.023578632024227435 -0.003852307155428819 -0.004234096194563555 0.0002408094127151323 0.020978496268308885 0.015879159929111607 -0.005972482605630604 -0.0396431339187177 0.011419170095505677 -0.007391024187947064 0.01246189699850756 -0.004950631129142926 0.01004164961755026 1.0441494780091242e-05 -0.0002166762821899686 -9.698277700168587e-05
PC_4 0.0018883707159305923 1.0025776772528962e-05 -0.0008542916413212996 1.0969210989856906e-05 -4.5604391963479336e-08 -0.0016533746100143528 0.33545560183937406 0.012957478453015927 0.03427008865141422 0.016214800401062178 0.00037052388167700624 -0.01900175167983906 -0.004021359712101999 -0.0325053251524957 -0.007757222266326521 0.020736373051751543 -0.04007400257936061 -0.018673687938717442 0.027572332841076973 0.01960833527628832 -0.02672836865554573 0.009775788106640862 -0.018193376239583857 -0.012308948523616034 0.020782842041259263 -1.3114440567958395e-05 0.00013427322181435897 9.949161978943675e-05
PC_5 0.0010613576458695952 -1.8710350818136435e-05 -0.0004425933878073266 4.926872522329292e-06 -1.7975837426934995e-08 0.0014665186642341087 0.012957478453015593 0.41672133012307616 0.004310676266709957 -0.0032852614512029993 -0.013738688634831105 0.01688375386700247 -0.04707609598617293 -0.00711919730170453 -0.046957587075033676 -0.021550570560385666 -0.016192941960169255 -0.02479628118387333 0.01844124534811361 -0.05733668112760925 0.01817603142713983 0.0139051133004602 -0.007582940253889405 -0.008839142405720712 0.02687857319079803 -2.0071010776262337e-05 5.982540098461816e-05 0.0001288788821620084
PC_6 -0.002401133910752952 -4.8245584982312214e-05 0.001128564903899943 -1.5463979854956143e-05 6.682389365495854e-08 -0.011493886334730226 0.034270088651414 0.004310676266709386 0.5552220150864667 0.01951095135738484 -0.022071805352962926 0.005203957150787073 -0.03069992011885845 -0.0019251873030609891 -0.03188813191507902 0.005715830802166129 -0.007775446876214726 -0.06814756180862909 0.03700924653478868 0.045441115340463294 -0.006293641586146736 -0.00675859814371796 -0.03188944882838316 -0.0170961995214551 -0.023376841917691044 3.11627501864587e-05 0.00020209799048403262 5.0075343260826126e-05
PC_7 -0.00017635545187068966 -2.2106020691704902e-05 1.009072098182242e-05 6.507077327248884e-07 -6.7696504376806335e-09 -0.017743243320964105 0.016214800401062074 -0.0032852614512030188 0.01951095135738509 0.705340383182817 -0.008878930383023006 -0.016758288097334057 -0.04195727106954818 0.031059199616443982 0.060619870905434324 0.07729051955819524 0.018576736247226264 -0.06972072503658415 -0.026344227541765512 0.08144757601913438 -0.041524146763573445 -0.021158980254905937 -0.0009236370952761462 0.01845143803092419 -0.01970162200567411 5.04681956964235e-05 0.00015760102587390984 9.996196910486664e-06
