 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
PC_4 5.521784807325124e-06 8.85319871658454e-06 -5.445457616537195e-06 4.065489449996288e-05 5.530392888987195e-06 5.502161505375361e-07 -4.64829427752425e-09 -2.3271058571438084e-07 2.0528634694528815e-09 0.0004501498691805884 0.10662965847777608 -0.0031830392540370773 0.006341185100658661 -0.0033827050816641127 -0.0009219522296954762 -0.0033826858233222123 -0.0005302267318452092 -0.006317828381743703 0.0018675218889558703 0.005678107415754752 -0.009933846867147 -0.006970272652063158 0.006950914728614069 0.006172518522829868 -0.00473786735307534 0.0029697223660930436 -0.005186996733453457 -0.0009418852542624147 0.004770625574090356 3.1521231327439916e-05
PC_5 3.701617058822848e-06 6.361774681284311e-07 -1.443790733663124e-05 -0.00013690549966826978 1.8013793713298802e-05 4.358935657024561e-07 -3.3250744694334754e-09 -4.810175582289546e-07 3.570458078227742e-09 0.0016651480566237582 -0.0031830392540370765 0.1409041721139834 -0.003618778776382563 -0.005316731738686489 -0.001573286482389867 0.00624623159769711 -0.009248301245752296 -0.0026751950479846783 -0.009947715945906117 -0.007315284921529522 -0.001691706633143399 -0.009232151229667366 0.007849579589121847 -0.017043650264010595 0.004895061454616519 0.0030012735412399925 -0.0012172785785128386 -0.001782356453632051 0.01082967838040999 1.804177171732236e-05
PC_6 -3.5644941206125685e-05 -7.544650324291359e-06 -3.460427109548637e-05 -0.00018060508282217777 1.3243759251947673e-05 5.668348370343738e-07 -3.854479337009501e-09 -2.9323479754487265e-07 2.0112089935027778e-09 -0.00020224866363895567 0.0063411851006586525 -0.0036187787763825685 0.17808784815325457 0.003957895006118275 0.005640936732029126 -0.0078842823585356 -0.0039979596218884415 0.0054937497061032904 -0.008037483439995304 0.0008591788994219274 0.001755260645641983 -0.015316110559261709 0.008477071381462213 0.015571964047167585 -0.003971193007307726 -0.00016603152261902517 -0.008208177716382853 -0.002569970296220056 -0.005889882220137036 3.354817549997079e-05
PC_7 5.575039405978773e-05 -1.8979298026959828e-06 3.805900385421385e-06 -0.00011681354685617525 6.74088974309079e-06 -2.052752985491e-08 -1.7659910503729897e-11 -1.4808415456650066e-07 1.1438144640200562e-09 -0.004975026664116607 -0.0033827050816641144 -0.005316731738686496 0.003957895006118268 0.22327272235577214 0.0074393212999421835 -0.0010914649382249546 -0.009071436859513213 0.008553026180487781 0.006139364372579019 0.019875012036271015 0.006105886988859733 -0.021558459035969518 -0.01423548162197114 0.019101774928238367 -0.007664525545414666 -0.00482756347898002 -0.0022806212239075384 0.008409698130964 -0.010226131836271982 4.149772100012779e-05
PC_8 -8.114441704015719e-05 -4.183203074828726e-06 1.1341988695460909e-05 0.00024375402159143353 -2.240357015781139e-05 -3.790606051914403e-07 2.4391583925198454e-09 5.499503572699863e-07 -3.928149298537145e-09 0.002301872271116364 -0.0009219522296954811 -0.0015732864823898526 0.005640936732029119 0.007439321299942162 0.24009302179411135 0.009564344324926224 0.009413911166358278 -0.0026613170938726304 -0.0015455963761706877 -0.008503504570206512 0.009031919488487309 0.020112483835414387 -0.013553683713240434 0.007732299131659963 0.016769465274169275 0.003746659084698263 0.0003661164333622767 0.0017652707710650048 -0.011058866393221517 -3.663734587085384e-05
PC_9 4.3431692749677234e-05 1.8352797988851274e-08 2.3617033932609595e-05 0.0004185130192402684 -2.8061463667534202e-05 -5.339832701457534e-07 3.6560711851920833e-09 5.817422459253788e-07 -3.6640955392348585e-09 0.0037920084495876778 -0.0033826858233222045 0.006246231597697111 -0.00788428235853561 -0.0010914649382249685 0.009564344324926245 0.32017726243476835 0.011052410503165236 0.0009427191325211302 -0.016882995030748815 0.009395931499975644 -0.003701014631105202 -0.0028902907775199913 -0.009741488819526667 -0.005805893465664506 -0.00690379475812375 -0.0010881917826470824 0.0003510004915575223 -0.006332563927913154 0.014810898686768258 -7.0020852769541434e-06
PC_10 -4.580431010020215e-05 -3.195025690184123e-06 1.1063176562822005e-05 0.00021443015692354915 -1.9057930975404444e-05 -4.037186344114003e-07 3.05158029842154e-09 4.261750301112597e-07 -2.8112025967800902e-09 -0.004481789765142472 -0.0005302267318452046 -0.009248301245752284 -0.003997959621888442 -0.009071436859513211 0.009413911166358282 0.011052410503165213 0.3900202178576021 0.020837986944437475 -0.010184557556252086 -0.004025258096486893 -0.0015088962145569289 0.009056744623509498 0.004013210627761461 -0.0008964636515381052 0.013046948118544613 0.004061679932471863 -0.0036210331305559862 -0.003453912481552472 -0.011060295700354971 -2.9656418577106673e-05
PC_11 -1.5470317312260275e-05 5.893407438767451e-06 4.333763405169131e-06 0.0003363704995068816 -1.4928683646173334e-05 1.676155859299176e-07 -1.889108045877431e-09 2.0926155432393188e-07 -9.391129093889205e-10 -0.0007632478023585615 -0.006317828381743707 -0.0026751950479846774 0.005493749706103291 0.008553026180487776 -0.0026613170938726153 0.0009427191325211201 0.02083798694443748 0.36403618474575095 0.005421329772850161 -0.00016176823077025424 0.014139688627234434 0.017749721577902073 -0.003980938906713342 0.011070123847320264 -0.012686673692392961 -0.005485919510955084 -0.00021761916346562472 -0.00443920669424002 0.023734586505945125 6.751246525698302e-06
PC_12 -9.16650177749004e-05 -2.430591071135185e-06 1.564936202089922e-05 8.511389011590387e-05 -8.563259271689182e-06 -4.892922542356661e-07 3.46312646923377e-09 2.5188876290121497e-07 -2.1059468997501923e-09 -0.001510118715202739 0.0018675218889558675 -0.009947715945906115 -0.008037483439995313 0.006139364372579028 -0.001545596376170706 -0.01688299503074883 -0.010184557556252099 0.005421329772850137 0.41211543494465985 0.019103436620735718 0.00020529689810607485 -0.011395640887979612 0.0038087774690971936 0.0219142696554834 0.01372394235635431 0.0105722944472386 0.009508598061579153 0.010615546807508942 0.00517447869823036 1.109218026572153e-05
PC_13 -1.1690510525331016e-05 -5.966399620685886e-06 -4.123768556982251e-06 -0.00037780355285036457 2.0751141466999646e-05 -2.0960242567225353e-07 2.228697396906675e-09 -2.7695330443661263e-07 9.704115323422872e-10 0.0007972982168043964 0.005678107415754756 -0.007315284921529517 0.0008591788994219209 0.019875012036271043 -0.008503504570206528 0.009395931499975647 -0.004025258096486901 -0.00016176823077025662 0.019103436620735697 0.42406270450537487 0.019001386465012274 -0.0007343874457413945 -0.006024324046687375 0.021943817094742354 0.013110574182503863 0.0030935008898323973 -0.02117783438675899 -0.013772952529060049 -0.009896187693512717 -6.2147574301177055e-06
PC_14 -2.8893573046063444e-05 7.332144874561444e-06 -1.6840798994706136e-05 -0.00011653689108019669 8.862327150509825e-06 4.886606372029277e-07 -3.206040296792236e-09 -1.6991919747074018e-07 8.274009490575309e-10 0.0054984441934663765 -0.009933846867147001 -0.0016917066331434082 0.001755260645641986 0.006105886988859722 0.009031919488487323 -0.0037010146311051975 -0.001508896214556919 0.014139688627234444 0.00020529689810607388 0.019001386465012284 0.4167623769828657 -0.00030319931863034935 -0.0006460616811206286 0.009687667005501922 -0.0021645767258005565 -0.0018658323203025477 -0.001359287193340582 -0.02951752511986946 0.01028935311438597 -1.1422756413236757e-06
PC_15 -6.170996541372729e-05 -6.215680684141228e-06 6.443219447025151e-06 9.832211456932877e-05 -6.654910025260885e-06 -3.5773427960871025e-07 2.8459625416614445e-09 1.6963622781654715e-07 -1.2855610403207837e-09 0.0036970795143679287 -0.0069702726520631635 -0.009232151229667362 -0.015316110559261735 -0.02155845903596954 0.020112483835414405 -0.002890290777519983 0.0090567446235095 0.017749721577902063 -0.0113956408879796 -0.0007343874457413931 -0.00030319931863034935 0.4812571640571746 -0.01026459724169441 0.006472480914712817 0.00666577567487342 0.0005242009795336784 0.004838574876809175 0.0013450693342130415 -0.018212381969358264 -3.4809511334320074e-06
PC_16 8.629123752924746e-06 -2.7561849988224253e-06 -3.5559420247463276e-05 -0.00015523716945404568 1.2614135841957312e-05 7.950270178141091e-07 -5.865727440610495e-09 -3.458451392971893e-07 2.7161710996861016e-09 -0.0018376017338907794 0.006950914728614085 0.007849579589121854 0.008477071381462227 -0.014235481621971144 -0.013553683713240427 -0.009741488819526675 0.004013210627761453 -0.003980938906713339 0.00380877746909719 -0.006024324046687382 -0.0006460616811206289 -0.010264597241694404 0.5030860866684969 0.007939286845492699 0.003808507836037841 0.0032565062405904887 0.010966900747689336 0.016040587640471175 0.01000946358640471 -3.0276228998781547e-07
PC_17 -5.299495565274242e-05 9.94626373849992e-06 1.5348780537743623e-05 2.933261230136284e-05 3.8104971268539394e-06 3.0428084323796105e-08 -1.1553391405419203e-09 -1.7021597210829123e-07 1.4047307411415948e-09 -0.01126047872023801 0.006172518522829859 -0.017043650264010585 0.015571964047167586 0.01910177492823839 0.007732299131659952 -0.005805893465664529 -0.0008964636515381289 0.01107012384732026 0.021914269655483407 0.02194381709474234 0.009687667005501947 0.00647248091471281 0.007939286845492695 0.5521827432345975 -0.015032535280561274 -0.011799896616299838 -0.021097488063394537 -0.012656229767488196 -0.034511561523433945 1.4065141590197996e-05
PC_18 -1.472938896262485e-05 3.4386961236458137e-06 1.561201254848689e-05 0.0005458678956918001 -3.1001795070521996e-05 -9.084650326088955e-08 -4.70264061119934e-10 5.419151035292795e-07 -2.969120182212847e-09 0.0008954239555902826 -0.004737867353075382 0.004895061454616531 -0.003971193007307692 -0.007664525545414716 0.01676946527416928 -0.006903794758123758 0.013046948118544607 -0.012686673692392968 0.013723942356354348 0.013110574182503852 -0.0021645767258005656 0.006665775674873422 0.003808507836037854 -0.015032535280561234 0.5506927101588301 0.0028908333517789217 -0.01275161555405447 -0.005210492991815281 0.009377580040373885 -8.607892655665352e-05
PC_19 1.322940404226592e-05 1.6197323504037025e-07 -2.596593507817418e-05 3.718599544290207e-05 -4.326874758359605e-06 5.483619076669132e-07 -3.5283165242401794e-09 1.020823625793128e-07 -7.192238669010448e-10 -0.0008954854667622514 0.0029697223660930514 0.003001273541240007 -0.0001660315226190064 -0.004827563478980027 0.003746659084698271 -0.0010881917826471017 0.00406167993247186 -0.005485919510955081 0.010572294447238628 0.003093500889832395 -0.0018658323203025401 0.0005242009795336779 0.003256506240590504 -0.011799896616299817 0.0028908333517789196 0.5691001801109096 -0.00039162256467370753 0.004408878412543392 0.002495442145209021 4.798647943571486e-05
PC_20 -5.124273838612706e-05 -2.4487041360194565e-06 -5.781295369846327e-06 -9.013602986807959e-05 1.0312948579802752e-05 4.682331263774488e-08 -2.7770736986991503e-10 -2.6244543660924627e-07 1.9238151578028123e-09 0.0038819665684879036 -0.005186996733453462 -0.001217278578512828 -0.008208177716382844 -0.0022806212239075327 0.0003661164333622485 0.0003510004915575084 -0.0036210331305560083 -0.00021761916346562987 0.009508598061579146 -0.021177834386758968 -0.001359287193340571 0.004838574876809172 0.010966900747689334 -0.021097488063394534 -0.012751615554054496 -0.00039162256467372255 0.5533040066462045 0.026927499872263103 0.0005084228981684236 1.8358818795890264e-05
PC_21 -5.155396938114374e-05 4.225744186374723e-06 -2.3815158909542224e-05 -0.0002470253352920871 1.9460198107431213e-05 5.819590764922031e-07 -3.655565025092682e-09 -4.141654049434798e-07 2.360856041242368e-09 -0.0004813559065922681 -0.0009418852542624185 -0.0017823564536320518 -0.0025699702962200476 0.008409698130964005 0.0017652707710649946 -0.006332563927913167 -0.0034539124815524875 -0.004439206694240026 0.010615546807508945 -0.013772952529060028 -0.02951752511986945 0.00134506933421304 0.016040587640471164 -0.012656229767488206 -0.005210492991815218 0.004408878412543379 0.026927499872263082 0.6059099954492159 0.006566279229314567 -4.852014219524658e-05
PC_22 7.669783285988161e-05 -1.4490687772607906e-05 -5.9155413288228785e-06 -0.0006186669731217901 3.4584426781529116e-05 -4.4496403116983746e-07 4.764473556441968e-09 -5.536632978918093e-07 2.726377828375955e-09 0.006086348500749437 0.004770625574090367 0.01082967838040998 -0.00588988222013704 -0.01022613183627198 -0.011058866393221551 0.014810898686768284 -0.011060295700354987 0.023734586505945142 0.005174478698230331 -0.00989618769351273 0.010289353114385972 -0.018212381969358277 0.010009463586404718 -0.03451156152343398 0.009377580040373906 0.0024954421452090376 0.0005084228981683792 0.006566279229314544 0.5907155988862164 4.754152480805555e-05
proband -7.243004521600746e-08 -1.0167310720250256e-08 6.296709737120638e-08 1.54428606382102e-06 -6.927650481640628e-08 -1.0104767181767259e-09 4.3986203470453414e-12 1.0713319406755502e-09 -5.5708201432045796e-12 -4.795990190813509e-05 3.1521231327439834e-05 1.8041771717322446e-05 3.354817549997065e-05 4.1497721000127534e-05 -3.663734587085321e-05 -7.002085276953894e-06 -2.9656418577106524e-05 6.7512465256980805e-06 1.109218026572182e-05 -6.2147574301175234e-06 -1.1422756413234475e-06 -3.4809511334317842e-06 -3.027622899878736e-07 1.4065141590198013e-05 -8.607892655664459e-05 4.7986479435714854e-05 1.8358818795890277e-05 -4.8520142195246446e-05 4.754152480805516e-05 1.1292276176748764e-05
