 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal gpp gmp
intercept 0.0012170208247310652 -2.7878048055765607e-06 0.00015625774893611582 -5.689941232302262e-06 6.004850324232001e-08 -0.000745604440825019 6.1001971128024934e-05 -0.0005567935205448048 0.00011906201812904231 0.0011744548864461018 -0.0005643358435954391 -0.00042870983618678983 -0.00015435241828348377 -0.0003287122229714985 -0.0007513427891726673 0.0004070609183255142 -0.0007218542128280514 -0.0006334754258373773 0.0004534531387375523 -0.000976817701629587 0.0001968812018607529 0.0006038142353456456 0.00013731385491039648 0.0010118770169380627 0.0016091709912433513 3.924077724449179e-06 3.3202210759843818e-06 -7.302420752331468e-06 -1.3579108962597803e-05
yob -2.7878048055750343e-06 1.0743334473686498e-06 -8.529249430691558e-08 1.79796602303608e-08 -1.0359507502389728e-10 1.5944629809343355e-05 0.0001282701030184765 4.410849209920433e-05 -0.00010140071997041278 1.3622928284023076e-05 -8.518900646465675e-05 4.977139880145389e-07 -4.7114727171250145e-05 9.464146973728191e-05 6.597818796099436e-06 -9.555299384103666e-05 8.822042877425465e-05 -8.149510186423832e-05 -1.0427054833060657e-05 9.258908286221931e-05 5.0580623130624215e-05 -2.2724209619022906e-05 5.454821295871738e-07 4.467072215918798e-05 -0.00015915992684332285 6.212512125533084e-09 -2.79103786552872e-08 -1.6067927612069715e-08 1.2418178609921849e-07
age 0.00015625774893611048 -8.529249430729359e-08 5.838062014952316e-05 -1.742702038648522e-06 1.5587085861009054e-08 -5.689935160941405e-05 -7.142931506070273e-05 -0.0001605902673808166 -2.660798482010456e-05 0.00020334735840101965 -0.00011121308803405915 -6.919099272690133e-05 -0.0001001390279220674 0.00023549074971000188 4.086938977094734e-06 0.00019129377800093536 -8.527584572122158e-05 0.00018710129166998123 1.2413484526293858e-05 0.00026130975133290197 0.0001458941875098335 0.0001269725249457991 -2.789210299413441e-05 5.4140623026672476e-05 0.00024456273256348506 5.172480608816104e-07 3.9763718824969713e-07 -2.758406118596395e-06 -3.5063571589016814e-07
age2 -5.689941232302133e-06 1.7979660230372914e-08 -1.742702038648529e-06 5.46464394569728e-08 -5.045030536147523e-10 1.6559913295443467e-06 5.0700766194969355e-06 5.8279982000005355e-06 -1.4415026584190308e-06 -3.4665225229145312e-06 9.430360474788271e-07 1.7429647681621079e-06 6.719103827935352e-07 -4.161402738236298e-06 -3.14536564237644e-07 -6.107485399399539e-06 3.732876250782763e-06 -4.686421735755405e-06 -2.233194616327073e-06 -4.956606229393083e-06 -2.7227704457986405e-06 -4.853022923564479e-06 -6.341958760587612e-07 -3.91973551858957e-06 -7.96674969245804e-06 -1.7320590742529743e-08 -4.945711878701526e-09 6.161566884545114e-08 2.525485987706216e-08
age3 6.004850324231873e-08 -1.0359507502399743e-10 1.5587085861009252e-08 -5.045030536147562e-10 4.789565686293968e-12 -1.546023838077013e-08 -3.642662616039425e-08 -5.1801160099635215e-08 9.465537682960827e-09 2.660255011296574e-08 -8.596170198976808e-09 -1.8342811734932064e-08 8.038110478237246e-14 3.310807182084935e-08 2.932174518207865e-09 4.356363656909823e-08 -2.903468889922293e-08 2.2217467944416384e-08 2.9647589179058364e-08 3.536746824298223e-08 2.489243271621404e-08 4.621246149565026e-08 1.4693906831079964e-08 5.811254811623284e-08 5.6423754688777716e-08 1.780902239244146e-10 -1.1203798656984073e-11 -4.057518020706433e-10 -3.277101267265266e-10
PC_3 -0.0007456044408249885 1.5944629809343687e-05 -5.689935160940588e-05 1.6559913295440868e-06 -1.5460238380767605e-08 0.21321517316744215 -0.01441947973395026 0.007328769446639585 0.01665772609615414 0.001717866494558731 0.021473032100050676 0.030547617947258826 -0.04416814877137866 -0.02229584273346635 -0.02083159413191541 0.035510078167326875 0.012219610521835718 0.04398292494334763 -0.013033073996810939 -0.08983289550759328 -0.01799124364604194 -0.01752226572074709 0.025409620483787528 -0.031729167041016366 0.0593281991860168 -0.00026158163554020097 0.00017820580113323808 -0.0002877647845834603 -0.00017541575416649125
PC_4 6.100197112819713e-05 0.00012827010301847699 -7.142931506065574e-05 5.0700766194954355e-06 -3.6426626160380017e-08 -0.014419479733950266 0.682322654674805 -0.0020830117849557532 0.11416296911692081 -0.03935307071512148 -0.021940367926900708 -0.002429358541610829 0.003169742842955205 -0.03555765125876985 0.03212001134734025 0.052439352963397745 -0.05730022177019149 -0.06824069062600904 0.06799505594953109 0.04511460665418063 -0.025702366635672488 0.026502946277688417 -0.041112765386876055 0.005091599402555841 0.0944365420475211 0.00022461801333462556 -6.936821395552222e-05 0.00038048245254546217 -9.973350453490179e-05
PC_5 -0.000556793520544729 4.410849209920535e-05 -0.0001605902673807993 5.8279981999999705e-06 -5.180116009962958e-08 0.007328769446639571 -0.002083011784955635 0.8843448357946155 -0.007506979287089358 -0.0554119049210841 -0.0531130369646561 0.053720115793412834 -0.07829497626621426 -0.08629681444043527 -0.08759204973021471 -0.010249034982911938 -0.03650137605342104 -0.0453016553785604 0.04129231459853506 -0.15212411116189864 -0.017486438519421513 0.0006063169410158304 -0.016535772091065815 -0.04622948758550584 0.09423047216085617 6.805758045155844e-06 -2.7912228211377834e-05 8.509503866230564e-05 1.4168165003445275e-05
PC_6 0.00011906201812893185 -0.00010140071997041273 -2.6607984820136046e-05 -1.4415026584180385e-06 9.465537682951526e-09 0.016657726096154176 0.11416296911692084 -0.0075069792870892885 1.1655117868152536 0.047901842049087186 0.08915955464237424 -0.008459131963462416 0.02385831908105579 0.03190754963288854 -0.06102403371179059 0.017581729674364797 0.10838142349586671 -0.1581706953129627 0.03412025939849009 0.14436062493121823 -0.029409063554436177 0.02022749618797935 -0.08353952528317413 0.024629409611560033 -0.05549081133560838 5.460252889750431e-05 0.00012199541888422364 0.00016379457094110354 -0.00022086010734085688
PC_7 0.0011744548864460933 1.3622928284022376e-05 0.0002033473584010173 -3.466522522914475e-06 2.6602550112964604e-08 0.0017178664945592293 -0.039353070715121785 -0.05541190492108416 0.04790184204908694 1.5599208211350934 -0.008971911961356287 0.10337727007885364 -0.08279071419298963 0.12855214729418107 0.11647591251648293 0.10496484649671846 0.03093647930738661 -0.19233010063487943 -0.07599196035295742 0.1670971005702866 0.006442695547086725 -0.010174143089314658 -0.06267642502042647 0.04827760287124523 -0.15078571131872193 8.321743133221555e-05 -1.8780958681707705e-05 0.0004714835570776332 7.367720995198938e-05
PC_8 -0.0005643358435955003 -8.51890064646564e-05 -0.00011121308803407675 9.43036047479391e-07 -8.596170198981991e-09 0.02147303210005074 -0.021940367926900683 -0.05311303696465604 0.08915955464237421 -0.008971911961355838 1.7026045779798171 0.16761767572394473 -0.00023257336415688777 0.04665023650006076 0.04004508483352234 0.016039863129064278 0.0682777953815776 0.13400052714543334 -0.14177128694738528 0.07737832919717612 0.14447848501437832 0.04068567998458124 0.06044766385095725 0.009990228863871428 -0.071013549718041 -8.28073146701017e-05 8.989905978877066e-05 0.0003944293418204743 -0.000695880355034705
PC_9 -0.00042870983618679536 4.977139880149126e-07 -6.91909927269089e-05 1.7429647681623103e-06 -1.8342811734933255e-08 0.03054761794725882 -0.002429358541610593 0.05372011579341279 -0.008459131963462426 0.10337727007885315 0.1676176757239444 2.1697196789398663 0.14180215619568237 -0.004922422823107577 -0.17012612288658985 0.11210050217827386 0.029002208825009458 -0.009025286121405636 -0.12286282464989441 -0.023212839069007347 -0.11717990928936377 -0.08372504975335841 -0.00877063400546577 -0.09231686569542953 0.13422421622737382 -0.00025562990961506844 0.0005370068501946119 -0.0006918180450156566 -8.594435263391484e-05
PC_10 -0.00015435241828349922 -4.711472717124991e-05 -0.00010013902792207193 6.71910382793683e-07 8.038110347743308e-14 -0.04416814877137862 0.003169742842955236 -0.07829497626621433 0.023858319081055776 -0.08279071419298924 -0.00023257336415696383 0.14180215619568223 2.751857507937927 0.28143482841204914 -0.14409870318984236 -0.05489060376364134 -0.00507112878322049 0.005766601096204184 0.07111811859428879 0.0640431464324612 0.12205001090510897 0.09233840947256533 0.03346859165826786 -0.05942986587153027 -0.17400738474290328 -0.00014424332614719306 0.0005328839361843079 6.392475873947077e-05 -0.0010172148984152198
PC_11 -0.00032871222297139633 9.464146973728077e-05 0.00023549074971003668 -4.1614027382373734e-06 3.310807182085892e-08 -0.022295842733466405 -0.03555765125877004 -0.08629681444043541 0.03190754963288859 0.1285521472941802 0.046650236500060734 -0.004922422823108017 0.2814348284120491 2.4229960136487576 0.11564954152658168 0.21028483802469022 0.049945965054297395 0.06934227866393516 -0.028369305660587717 0.04623894712989728 -0.08359966667757486 -0.04940982622656589 0.01406206451383374 -0.10374200624637699 0.23827640031665784 1.3342749332825238e-05 5.6622937101966806e-05 -0.0005028551067283975 0.0009583184681123955
PC_12 -0.0007513427891725859 6.5978187960992474e-06 4.086938977118138e-06 -3.145365642383858e-07 2.932174518214699e-09 -0.020831594131915366 0.032120011347340154 -0.08759204973021487 -0.06102403371179068 0.11647591251648243 0.04004508483352229 -0.17012612288659096 -0.14409870318984247 0.11564954152658168 2.8967690120091962 0.11708418879920511 0.11183809871297087 -0.04493919243593386 0.13128292695220423 0.1759753674577382 0.1424093032348466 0.05802610298120451 0.0675103259241124 0.14493960681168744 0.03741327709907085 4.8310316387612076e-05 0.00018628978301620503 -0.0007251549783374599 6.56103979345479e-05
PC_13 0.0004070609183253686 -9.555299384103748e-05 0.00019129377800089744 -6.107485399398319e-06 4.356363656908654e-08 0.03551007816732694 0.05243935296339762 -0.010249034982911872 0.017581729674364846 0.10496484649671822 0.01603986312906432 0.1121005021782741 -0.05489060376364121 0.21028483802469003 0.11708418879920511 2.7946281966048425 0.3063276732057808 -0.1046549324228399 -0.03878941432342654 0.24948112172175443 0.1372262610342659 0.036305323429983084 -0.1658807965414311 -0.021892802734711662 -0.19694432050916785 -9.297373212879595e-05 -5.8502173474220465e-05 0.00010289046055795192 -0.00029243209576373285
PC_14 -0.0007218542128279334 8.822042877425527e-05 -8.527584572118965e-05 3.7328762507817427e-06 -2.9034688899213216e-08 0.012219610521835733 -0.05730022177019145 -0.036501376053421124 0.10838142349586667 0.030936479307386508 0.06827779538157748 0.029002208825008792 -0.005071128783220547 0.049945965054297464 0.11183809871297097 0.3063276732057808 2.884922894577243 0.0628663078827413 -0.14998377966943932 0.10791936669310542 0.05121175473195476 -0.031586793410317476 0.03535034857726598 -0.20185814644489442 0.15397784411433665 -0.00018062691961941903 0.0004704850886395802 -0.0005425494673038678 -0.0003684131117099668
PC_15 -0.0006334754258375176 -8.149510186423888e-05 0.00018710129166994407 -4.6864217357542035e-06 2.2217467944404986e-08 0.04398292494334761 -0.06824069062600911 -0.04530165537856032 -0.1581706953129626 -0.1923301006348791 0.13400052714543348 -0.009025286121405244 0.005766601096204316 0.06934227866393497 -0.04493919243593394 -0.1046549324228399 0.0628663078827413 3.199267483357828 -0.1167922200434291 -0.013589257770043823 0.12096857564240358 -0.012114635724659754 0.10297231315537252 -0.05301015923917692 -0.23894112519137317 -9.985928589871575e-05 0.00044538741279759027 0.0001660826190774532 -0.000497947797748968
PC_16 0.0004534531387375682 -1.0427054833061259e-05 1.2413484526301676e-05 -2.233194616327307e-06 2.964758917906039e-08 -0.013033073996810998 0.06799505594953104 0.04129231459853506 0.034120259398490144 -0.07599196035295797 -0.14177128694738514 -0.1228628246498937 0.07111811859428889 -0.02836930566058779 0.13128292695220403 -0.03878941432342651 -0.14998377966943938 -0.11679222004342882 3.4700500863600476 -0.03224551031142259 -0.008575165668600693 0.14501977053229426 0.057161217090654894 0.0421125592664689 0.0083629721963633 5.803622906066716e-05 -0.0006620724002870889 0.00031184836465268916 0.0005557121141771929
PC_17 -0.0009768177016295171 9.258908286221795e-05 0.0002613097513329275 -4.956606229393867e-06 3.536746824298906e-08 -0.08983289550759342 0.045114606654180454 -0.15212411116189867 0.14436062493121823 0.16709710057028596 0.07737832919717602 -0.023212839069007823 0.06404314643246108 0.0462389471298972 0.17597536745773812 0.2494811217217545 0.10791936669310526 -0.013589257770043698 -0.03224551031142244 3.879540977844499 0.08619487804168424 0.047153275605929704 -0.16535813244305342 -0.13934096642995256 -0.09407656840993184 -0.00013977523877359527 0.0001368143474271154 -0.0006651322830789236 0.00045570482072020314
PC_18 0.0001968812018608654 5.058062313062335e-05 0.00014589418750986558 -2.7227704457995278e-06 2.4892432716222537e-08 -0.017991243646041082 -0.025702366635672973 -0.017486438519421672 -0.02940906355443616 0.006442695547085477 0.14447848501437835 -0.11717990928936359 0.12205001090511025 -0.0835996666775754 0.14240930323484688 0.13722626103426605 0.051211754731955585 0.12096857564240401 -0.008575165668600252 0.08619487804168478 3.3743962199513007 0.2142140072362779 -0.014157740883878115 -0.2247357888568456 0.13869716563063958 -0.00013619161059017567 -0.0006650050892948869 -0.0008149341303612477 0.0013428825495459145
PC_19 0.0006038142353456525 -2.2724209619024024e-05 0.00012697252494579806 -4.853022923564469e-06 4.6212461495649834e-08 -0.01752226572074708 0.026502946277688226 0.0006063169410157401 0.020227496187979362 -0.01017414308931464 0.04068567998458108 -0.08372504975335886 0.09233840947256547 -0.04940982622656566 0.05802610298120474 0.036305323429982966 -0.03158679341031762 -0.012114635724659421 0.14501977053229417 0.04715327560592981 0.2142140072362783 3.542415439741599 0.005857064127533682 0.052777381923438324 0.19883950944433137 0.000370262243863269 -0.00018996491956742344 -0.0007045944628377792 0.0008253820689676901
PC_20 0.00013731385491040881 5.454821295869818e-07 -2.7892102994129345e-05 -6.341958760589144e-07 1.4693906831081334e-08 0.025409620483787497 -0.04111276538687606 -0.016535772091065836 -0.0835395252831741 -0.06267642502042677 0.060447663850957255 -0.008770634005466005 0.0334685916582678 0.014062064513833739 0.06751032592411235 -0.16588079654143104 0.03535034857726598 0.10297231315537259 0.05716121709065496 -0.16535813244305334 -0.014157740883879036 0.005857064127533478 4.012724926270245 0.17715576484765913 -0.05441691669657914 5.261535853827641e-05 0.00021188330306254452 -0.00022566823335153126 0.00025939364607940646
PC_21 0.001011877016938208 4.467072215918657e-05 5.414062302671673e-05 -3.919735518590967e-06 5.811254811624553e-08 -0.031729167041016464 0.005091599402555624 -0.046229487585506 0.024629409611560155 0.048277602871245 0.009990228863871489 -0.09231686569542946 -0.05942986587153034 -0.10374200624637701 0.14493960681168722 -0.021892802734711374 -0.20185814644489472 -0.05301015923917668 0.042112559266469035 -0.13934096642995256 -0.22473578885684542 0.05277738192343888 0.17715576484765921 4.324389368828857 0.1688152862494009 -0.0002248467227075614 -0.00017668988170988704 -0.00020942704354226532 0.0005689357643266532
PC_22 0.0016091709912431154 -0.00015915992684332382 0.0002445627325634164 -7.96674969245588e-06 5.6423754688757374e-08 0.05932819918601682 0.09443654204752103 0.09423047216085631 -0.05549081133560819 -0.15078571131872182 -0.07101354971804075 0.13422421622737443 -0.17400738474290295 0.2382764003166573 0.03741327709907081 -0.19694432050916746 0.15397784411433682 -0.23894112519137325 0.008362972196363094 -0.09407656840993213 0.13869716563063944 0.19883950944433174 -0.05441691669657917 0.16881528624940065 3.919419516672811 7.479419638397777e-05 1.6807229904293018e-05 0.0009160823714814575 -0.000411394923411531
proband 3.924077724449183e-06 6.2125121255290915e-09 5.172480608816195e-07 -1.7320590742529892e-08 1.780902239244148e-10 -0.00026158163554019864 0.00022461801333462463 6.805758045147905e-06 5.460252889750466e-05 8.321743133222567e-05 -8.28073146701211e-05 -0.00025562990961533385 -0.0001442433261472087 1.3342749332827916e-05 4.8310316387655356e-05 -9.297373212881265e-05 -0.00018062691961942136 -9.985928589870999e-05 5.8036229060678904e-05 -0.00013977523877360017 -0.0001361916105901531 0.00037026224386329246 5.2615358538276925e-05 -0.0002248467227075436 7.479419638397346e-05 8.81998364574069e-05 -4.2366077005785545e-05 -1.490930683452547e-06 -6.433054927398336e-06
paternal 3.3202210759843e-06 -2.7910378655305304e-08 3.9763718824965155e-07 -4.945711878701311e-09 -1.120379865698258e-11 0.00017820580113322873 -6.936821395550474e-05 -2.7912228211381063e-05 0.00012199541888422597 -1.8780958682107386e-05 8.989905978866583e-05 0.000537006850193831 0.0005328839361842202 5.662293710196169e-05 0.00018628978301620433 -5.8502173474278084e-05 0.0004704850886395454 0.00044538741279755075 -0.000662072400287029 0.00013681434742712976 -0.0006650050892959994 -0.00018996491956760437 0.0002118833030625459 -0.00017668988170979003 1.680722990418698e-05 -4.236607700578559e-05 0.0004823833240756147 -0.00037336717497798587 -0.0003712005840125613
gpp -7.302420752334104e-06 -1.6067927612049413e-08 -2.7584061185972477e-06 6.161566884547893e-08 -4.0575180207090413e-10 -0.00028776478458347906 0.0003804824525454502 8.509503866230672e-05 0.00016379457094112162 0.0004714835570784068 0.0003944293418205694 -0.0006918180450146083 6.392475873954979e-05 -0.0005028551067283225 -0.0007251549783375051 0.0001028904605580474 -0.0005425494673038524 0.00016608261907739982 0.0003118483646525813 -0.0006651322830789025 -0.0008149341303611665 -0.000704594462837107 -0.0002256682333515549 -0.00020942704354233043 0.0009160823714814243 -1.4909306834526203e-06 -0.0003733671749779862 0.0012843736326538335 -0.0005775407524944259
gmp -1.357910896259529e-05 1.241817860992246e-07 -3.5063571588935335e-07 2.5254859877035623e-08 -3.277101267262754e-10 -0.00017541575416650293 -9.973350453488367e-05 1.416816500345249e-05 -0.00022086010734087785 7.36772099511257e-05 -0.0006958803550347423 -8.594435263461723e-05 -0.0010172148984152237 0.0009583184681123467 6.561039793457517e-05 -0.000292432095763803 -0.0003684131117099592 -0.0004979477977488428 0.0005557121141773367 0.0004557048207201922 0.001342882549546521 0.0008253820689674905 0.00025939364607943395 0.0005689357643265836 -0.0004113949234114615 -6.433054927398013e-06 -0.00037120058401256137 -0.0005775407524944267 0.0012895532976196018
