 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 8.931622037923055e-06 1.748317683236622e-08 -2.4558345535770502e-06 -1.1057772822871666e-05 7.096151751641174e-07 4.805612573665294e-08 -2.836567418034641e-10 -1.4552602546607796e-08 9.312726887185871e-11 2.3718684868722296e-06 2.8885585290934603e-07 3.0510863601826232e-06 -3.27149046896058e-05 4.4797717585029996e-05 -5.853079705827881e-05 3.8050479474231426e-05 -3.5129194413433244e-05 -3.4617194911321332e-06 -6.324229207757846e-05 -3.911058814209145e-06 -1.32408088531544e-05 -4.194841409731992e-05 -6.717164261018578e-08 -2.955413642979477e-05 -5.414179278584574e-06 4.333135684134259e-06 -3.379469627451574e-05 -4.0428189053803475e-05 5.328649197879199e-05 -1.1827356581027678e-08
yob 1.7483176832415837e-08 8.305509653200706e-08 1.2363429443812095e-07 3.544909279446068e-07 -3.8722465174386144e-08 -4.290537186115574e-10 -1.1991310582598835e-12 5.575719818305771e-10 -1.3828102472484968e-12 6.073571936256954e-07 5.855696157028747e-06 3.933262015209119e-07 -5.590784062693895e-06 -1.5306687395513882e-06 -2.5628645523024164e-06 1.224946381670372e-07 -2.0521625683805594e-06 3.7926222166975672e-06 -1.3370152811432791e-06 -3.4957575143553603e-06 4.950830319852516e-06 -4.425322352055944e-06 -2.239585340340939e-06 7.050871885384465e-06 2.448164097540752e-06 -7.692421806008241e-08 -1.8174294647373008e-06 2.6661578260321865e-06 -9.439506354501059e-06 -3.20886661033764e-09
age -2.455834553560229e-06 1.2363429443815568e-07 3.262134199905338e-05 0.00048103781730609685 -3.22517069190554e-05 -6.564121185367498e-07 4.110582888285976e-09 6.51734235927474e-07 -4.084089872601062e-09 1.285698641730391e-06 -1.391950884098322e-06 -7.054683017427313e-06 -1.8383510054916143e-05 -3.1896887173372248e-06 1.0513277059417717e-05 1.0331249325702806e-05 6.842295697666156e-06 1.192937145743276e-07 9.838115234731716e-06 2.573000837295041e-06 -1.577079328937909e-05 -9.121123610845212e-06 -2.0707048604322932e-05 -2.434828756548287e-06 1.790944110329733e-05 -5.498759351442392e-06 -2.370620405695115e-05 -9.626531120971504e-06 9.111101479066916e-06 8.069887326481272e-08
sex -1.1057772822350586e-05 3.5449092793041214e-07 0.00048103781730468505 0.012717741654538851 -0.0008259455359438609 -9.471827638026375e-06 5.825103139618486e-08 1.6348157846667184e-05 -1.0088242316858167e-07 7.705950970292135e-06 8.22425309119267e-05 -3.488121316852364e-05 -7.63806737114604e-05 -0.00017898669678513391 0.00018000835073228618 0.00020439668136889308 0.0001298757459541015 0.00019390410602102527 5.130924422455101e-05 -0.0001014434984881768 -0.00015554568946306546 -0.00012841634591628754 5.8417997082598845e-05 -0.00024774865442186436 0.0004974387971511926 0.00030545585125442686 -0.0001896667898769819 -0.00013260468317283623 -8.737865627001507e-05 1.0404381002413186e-06
age_sex 7.096151751426773e-07 -3.8722465173992016e-08 -3.2251706918961574e-05 -0.0008259455359438984 5.5466078586679814e-05 6.510644054574717e-07 -4.081039306486837e-09 -1.1244802583339713e-06 7.067055518342003e-09 -1.5043017742901205e-06 4.2091187008533294e-08 8.265661060408285e-06 5.743061173039136e-06 1.0694775051741902e-05 -1.6616470830944102e-05 -1.2853941494827198e-05 -1.0731096025726119e-05 -8.874399295162427e-06 -6.0360797460326875e-06 4.740280769592053e-06 9.282325041807245e-06 8.094955545166198e-06 -1.53881186549776e-06 1.9084068825712442e-05 -2.979550878772461e-05 -2.0542481685737227e-05 1.574759400808418e-05 9.908357571555255e-06 1.975294643159725e-06 -4.574023977575124e-08
age2 4.8056125736092185e-08 -4.290537185986578e-10 -6.564121185367951e-07 -9.471827638056021e-06 6.51064405459447e-07 1.3539505490233497e-08 -8.636900668384447e-11 -1.3438395390988745e-08 8.573169165071004e-11 3.603783793827799e-08 3.0799570530158766e-07 2.4023284521363656e-07 2.596224313331658e-07 8.110083671595832e-08 -3.2106477859052115e-07 -2.263413797723425e-07 -2.563142541257088e-07 1.5201843822212074e-07 -3.178448105530185e-07 -2.1756532463245127e-07 4.107033241010739e-07 3.328918213637488e-08 4.477833480112769e-07 2.7358710144400643e-07 -2.022960193473538e-07 1.3600640982524282e-07 4.254205471170719e-07 2.3172147801310498e-07 -5.397442839089753e-07 -1.2794249923329697e-09
age3 -2.8365674180029696e-10 -1.1991310582975381e-12 4.110582888286583e-09 5.825103139637731e-08 -4.081039306499684e-09 -8.636900668385044e-11 5.597254184127016e-13 8.571083764573684e-11 -5.553855824777786e-13 -6.443105310149518e-10 -2.6477645999582354e-09 -1.9386173288611555e-09 -1.7421434345348818e-09 -4.723476331603132e-10 2.1155381762536887e-09 1.5229509583730695e-09 1.9627908968477874e-09 -1.44248512454554e-09 2.2970710513976392e-09 1.899804544419411e-09 -2.6625990938993217e-09 1.2995364901577522e-10 -3.292216040588154e-09 -2.3358369714595863e-09 5.872415398193274e-10 -1.0307063859036824e-09 -2.591788495032829e-09 -1.3485825846627204e-09 4.604956618130527e-09 6.074456904073483e-12
age2_sex -1.4552602545659305e-08 5.575719818129397e-10 6.517342359255834e-07 1.634815784666865e-05 -1.1244802583340172e-06 -1.3438395390949013e-08 8.57108376454782e-11 2.3262685674881855e-08 -1.4870912780974914e-10 3.604853628353009e-08 -7.629857135727404e-08 -2.5275821601948767e-07 -1.235388766653408e-07 -2.0958978866107185e-07 4.121363374185828e-07 2.533904658694353e-07 2.367023246956127e-07 1.2358894520244325e-07 1.877445038932754e-07 -1.3330919974129294e-08 -1.7147163183159545e-07 -1.384919898439256e-07 -3.126620227480254e-08 -4.4708853736849237e-07 5.65062097033049e-07 3.900206535668139e-07 -3.427208225705183e-07 -1.9886315639169306e-07 3.441024369820343e-08 6.513687669720052e-10
age3_sex 9.312726886816168e-11 -1.3828102471595337e-12 -4.0840898725892934e-09 -1.0088242316859507e-07 7.067055518342563e-09 8.573169165046244e-11 -5.553855824761654e-13 -1.4870912780975454e-10 9.653970093877725e-13 -1.3942583532231476e-10 8.375206955342984e-10 2.025005475760521e-09 8.115591917481293e-10 1.3289517494767483e-09 -2.9755967971054214e-09 -1.5035954532334882e-09 -1.548521454431735e-09 -5.396583195735967e-10 -1.5972958731922846e-09 -4.005809977837852e-10 9.821425225621466e-10 7.420325982872154e-10 5.579848626064839e-10 3.0921420863492214e-09 -3.419167418410967e-09 -2.2610628149240655e-09 2.2160327138986095e-09 1.0402889070907558e-09 -5.67862248825507e-10 -2.9224822174441376e-12
PC_3 2.371868486873929e-06 6.073571936256348e-07 1.2856986417101968e-06 7.705950969993251e-06 -1.504301774269732e-06 3.6037837938690805e-08 -6.443105310175682e-10 3.604853628311095e-08 -1.3942583531965062e-10 0.02243625520503678 0.0005604304151527938 0.0013831030180398427 -0.0004256221297022959 -0.00381770899885792 0.0017229084686610683 0.0031005888180511295 -0.003329362095665776 -0.00028965879786934105 -0.0011826639821611324 0.0005006957063062851 0.004251580588665851 0.0021947267208487237 -0.001419117488756061 -0.007847298616590174 0.0010737349308360291 -0.00081399132443023 0.0025869007108639567 -0.00037375707881926487 0.003737892805643937 -3.256831895594488e-05
