(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband maternal gmm gpm
(Intercept) 0.000742225151331108 0.000644329675706086 0.000183988676985905 -0.000287616229212379 -3.54554018565381e-05 2.78652886065558e-05 -2.54352330446887e-06 5.59848479850276e-06 1.045610063298e-05 -5.16811148652694e-06
covarage 0.000644329675706086 0.00174160923853606 0.00191187833947913 -0.00279503048691034 -2.48281867769945e-05 5.39032297419021e-05 4.89756949358708e-06 1.01381043338081e-05 7.50837357753434e-06 -1.87092690540177e-05
covarsex 0.000183988676985905 0.00191187833947913 0.00359397198880671 -0.00489565285450215 -2.35453967083168e-05 3.92252271303096e-05 1.06739581183056e-05 1.60574366572298e-06 2.01951206862576e-05 -1.53658616364812e-05
covarage_sex -0.000287616229212379 -0.00279503048691034 -0.00489565285450215 0.00731179714874364 3.02787779776793e-05 -2.20955615263622e-05 -1.12609856568151e-05 -1.29734175034982e-06 -1.27127276737253e-05 1.77908811576202e-05
covarPC_3 -3.54554018565381e-05 -2.48281867769945e-05 -2.35453967083168e-05 3.02787779776793e-05 0.00031279872863823 -4.35014419237585e-06 -1.42566399011605e-05 7.43706689893198e-06 -1.3208664272409e-05 -2.82938413026165e-05
covarPC_4 2.78652886065558e-05 5.39032297419021e-05 3.92252271303096e-05 -2.20955615263622e-05 -4.35014419237585e-06 0.000369206845419437 4.50412135395266e-06 -3.20465373541935e-06 2.44891038366426e-05 -5.2825814281058e-06
proband -2.54352330446887e-06 4.89756949358708e-06 1.06739581183056e-05 -1.12609856568151e-05 -1.42566399011605e-05 4.50412135395266e-06 0.000411230041621102 -0.000217993003611013 1.47142607776316e-05 -2.16073836553677e-05
maternal 5.59848479850276e-06 1.01381043338081e-05 1.60574366572298e-06 -1.29734175034982e-06 7.43706689893198e-06 -3.20465373541935e-06 -0.000217993003611013 0.00221993939281807 -0.00162786778862354 -0.00178160419429519
gmm 1.045610063298e-05 7.50837357753434e-06 2.01951206862576e-05 -1.27127276737253e-05 -1.3208664272409e-05 2.44891038366426e-05 1.47142607776316e-05 -0.00162786778862354 0.00583600504585673 -0.00274508944787978
gpm -5.16811148652694e-06 -1.87092690540177e-05 -1.53658616364812e-05 1.77908811576202e-05 -2.82938413026165e-05 -5.2825814281058e-06 -2.16073836553677e-05 -0.00178160419429519 -0.00274508944787978 0.00612910620996952
