(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal gpp gmp
(Intercept) 0.0395222145937884 0.0348719843452069 0.0108717323104297 -0.0335678115936583 -7.39484696807231e-05 0.00037251507799691 0.000247523750362893 0.000641181445501896 -0.0013160451157394 6.77279587092237e-05
covarage 0.0348719843452069 0.0454407961268313 0.0295333360004741 -0.0733120951313053 -0.00025157615425053 0.000236217640187976 0.000104951529585999 0.00039087478345705 -0.0012558653294943 0.000597608113715405
covarsex 0.0108717323104297 0.0295333360004741 0.0355225995196381 -0.0740694150441329 -0.000226471645947165 2.78173167226966e-05 6.27860139210274e-05 0.000213893921205833 -0.00101859088972948 0.000389114010156716
covarage_sex -0.0335678115936583 -0.0733120951313053 -0.0740694150441329 0.171065373385435 0.000479645627110335 0.000217847029760116 -1.55335731240329e-05 -0.000590746143380098 0.00207459557170146 -0.000795222359011282
covarPC_3 -7.39484696807231e-05 -0.00025157615425053 -0.000226471645947165 0.000479645627110335 0.00358217770827903 -0.000131271444072936 -0.000244836451703325 0.000221295163122016 -0.000431569567704082 -8.98143901796356e-05
covarPC_4 0.00037251507799691 0.000236217640187976 2.78173167226966e-05 0.000217847029760116 -0.000131271444072936 0.00345197235849765 0.000157069751852513 1.00746144146626e-06 1.3780535624484e-05 -5.39222225124961e-05
proband 0.000247523750362893 0.000104951529585999 6.27860139210274e-05 -1.55335731240329e-05 -0.000244836451703325 0.000157069751852513 0.00425943046534057 -0.00214243423081217 5.86659358457348e-05 -0.000298790259453096
paternal 0.000641181445501896 0.00039087478345705 0.000213893921205833 -0.000590746143380098 0.000221295163122016 1.00746144146626e-06 -0.00214243423081217 0.0189778070051761 -0.0146275190372486 -0.0137202539992096
gpp -0.0013160451157394 -0.0012558653294943 -0.00101859088972948 0.00207459557170146 -0.000431569567704082 1.3780535624484e-05 5.86659358457348e-05 -0.0146275190372486 0.0379489506805913 -0.00986231295704585
gmp 6.77279587092237e-05 0.000597608113715405 0.000389114010156716 -0.000795222359011282 -8.98143901796356e-05 -5.39222225124961e-05 -0.000298790259453096 -0.0137202539992096 -0.00986231295704585 0.0358808275701451
