 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gpm gmp gmm
intercept 0.008402513936630477 -5.50210972990315e-06 0.0010247031540757733 0.0012421248521851359 -0.00021367794100995817 -3.848359040194265e-05 4.249973040075853e-07 9.140211014982896e-06 -1.0777662699847346e-07 -0.002215510527910641 0.0008730999103892715 -0.0006002317307243455 0.0007388296430868352 -0.000967677346856378 -0.0020217886760273435 0.003175336672218327 0.0005811862519839552 -0.0007414230547330324 -0.0036341429985797796 -0.0007164172343676588 -0.0028526506380679713 -0.002625123932528625 -0.006540895606044073 -0.0022348334128557243 -0.005785222584384283 -0.0034662114473594323 0.0003253132536313131 0.009653003185692663 0.005589610331911854 -2.048428999445687e-05 -1.0543057932741822e-05 2.5944668338388746e-05 6.96008527536646e-05 -4.499940818102358e-05 1.9227605272073107e-05 -3.3862480049650444e-05
yob -5.50210972989961e-06 2.23091200191296e-06 2.373152986156382e-06 1.71755378577521e-05 -1.9104581945970184e-06 -1.380251325740585e-08 2.9206191620097135e-11 4.563490117187033e-08 -2.938953139490069e-10 2.25331449610252e-05 0.00035799528718683215 5.505394625557743e-05 -0.0002670853300421293 0.0001344666452862596 -0.00031315680754490907 -4.9469042602480595e-05 -0.00014536436736863046 0.00028368972963161674 -7.751731578601302e-05 -0.00021242704231021407 0.00018076890269937406 -0.00014119189277000233 -3.6583150697841974e-05 0.00011908963924494375 0.00012074642515552937 -5.922496818318436e-05 -9.070276853694715e-05 3.984252585911947e-05 -0.0002922074056179829 4.045328097673375e-07 -1.003333335256523e-06 -9.668140607376441e-08 -2.3389121560948544e-07 1.44913065098348e-06 5.831296033265932e-07 -1.2546730723752769e-06
age 0.0010247031540765996 2.3731529861807165e-06 0.0005390706937656565 0.0051022335209060495 -0.0005361041698043966 -1.6732649788886626e-05 1.5842931393285045e-07 1.668577544417746e-05 -1.5794928566743717e-07 -0.00029664515522709827 0.00048625770902112017 -3.2885211199644824e-05 -4.9105328465751416e-05 -0.0009264620246992283 -0.00039429785094051146 2.5471000942115127e-05 -0.0009553616389902841 -0.00047417374579194967 0.00016410184220241216 0.00017528288593250817 4.3775318001083724e-05 -0.0004913830045264033 -0.0004979207681375446 -0.0006797830579462281 -0.0012374367817556244 -0.0004499101835696026 -0.0005960238240984801 0.0019884432398348745 0.0011114115186032225 -3.3368864280301765e-06 -8.31590396153797e-06 1.827518702217864e-05 2.3235747549125754e-05 -2.9737762512024156e-06 -4.555610703544532e-06 -2.509091161118665e-05
sex 0.0012421248522031347 1.7175537857762852e-05 0.00510223352091061 0.09629902497691105 -0.009200031463958841 -0.00014959725696088888 1.3590240810374647e-06 0.0002678694836116529 -2.415849111062811e-06 -0.0013981310548768272 0.009832709294609065 0.0006651554841094145 -0.002033860694580207 -0.01268568575128103 -0.004671389081482914 0.0046038886412565405 -0.01555147223071336 -0.012750285798287447 0.002141463898639404 0.0003434143609248321 -0.007762596645469156 -0.014630286826481253 -0.010566255427288066 -0.029485031201613523 -0.008921111878907526 -0.006725669484772609 -0.0009513294899588837 0.014358319061951832 0.008694688274637017 2.102466082219883e-05 -7.451328854058502e-05 0.0002839725143190711 0.000314768728893901 -4.7223187342810005e-05 -0.00020448844837772954 -0.0002921427335779433
age_sex -0.00021367794101182714 -1.910458194591752e-06 -0.0005361041698048356 -0.009200031463958588 0.0009493738222803012 1.6660230448369276e-05 -1.5785422899481363e-07 -2.9203114460223107e-05 2.74214505142387e-07 6.813278225777795e-05 -0.0010097143358988154 -0.00022813342880242046 0.00035236012091508493 0.0012376214124641552 0.000296197975607875 -0.0007135379978095672 0.0013520838835083151 0.001234562900567431 -0.0002746806153983572 -3.559606817535037e-05 0.00024219199518066032 0.0010753853649772326 0.0009410499856635279 0.0028984618597789804 0.0009480854743638342 0.00146481694346734 0.0002938514438330381 -0.001254385416194563 -0.0010311855283468205 -9.996965726032651e-07 7.449053798816469e-06 -2.741294166829174e-05 -2.812900210294543e-05 1.2733791921385507e-06 2.2169037103636563e-05 2.6749043470835354e-05
age2 -3.848359040197553e-05 -1.3802513257114305e-08 -1.67326497888857e-05 -0.00014959725696074338 1.66602304483551e-05 5.449603043753186e-07 -5.340868391977084e-09 -5.426669879806354e-07 5.317677677583708e-09 7.720561613979696e-06 -9.362038626759028e-06 4.99160068116765e-07 -5.130942071010479e-06 3.6891853305297044e-05 2.449810842419187e-06 -7.436249395566103e-06 1.5168895115007428e-05 1.7192708655837934e-05 -1.041561705954685e-05 -8.60208119848568e-06 9.170228701629778e-07 8.350964545970441e-06 1.7775193513401902e-05 2.3048335626423474e-05 4.615306252477112e-05 3.066098522210414e-05 1.0185444510142316e-05 -6.855803540762108e-05 -3.748110518401542e-05 1.2359302130895763e-07 2.3968879329512715e-07 -5.502753213805769e-07 -7.791708105988175e-07 1.361172848022191e-07 1.8016617609131698e-07 7.24796311369185e-07
age3 4.2499730400786075e-07 2.9206191621779834e-11 1.5842931393283725e-07 1.3590240810360273e-06 -1.5785422899467358e-07 -5.3408683919768906e-09 5.379337997673986e-11 5.319148208879004e-09 -5.3564134381824524e-11 -6.519565061272616e-08 1.2412045605916008e-07 1.6256970957484945e-10 4.508023492836237e-08 -3.673980958125475e-07 -1.3765001538581244e-08 1.2284182003091924e-07 -7.051740113807583e-08 -1.234099088135196e-07 1.0149185006200103e-07 6.549456674707388e-08 -5.930892451152061e-09 -6.330956620542507e-08 -2.261731673998033e-07 -2.3288964202212078e-07 -4.763178183271716e-07 -4.149069568027416e-07 -4.8340701784798614e-08 7.084702764120943e-07 3.6562625970934886e-07 -1.310515784111497e-09 -2.206814807741364e-09 5.092370433566491e-09 7.716983021240518e-09 -1.3116764142068939e-09 -1.7907212912377816e-09 -6.575934361595183e-09
age2_sex 9.140211015037658e-06 4.563490117161223e-08 1.6685775444189702e-05 0.0002678694836116351 -2.9203114460222036e-05 -5.426669879810357e-07 5.319148208882973e-09 9.377062994628821e-07 -9.101266809518937e-09 -7.091179790600607e-07 3.217922708255005e-05 9.791715532530077e-06 -1.1810249163796172e-05 -3.787488788871292e-05 -3.789966713156703e-06 2.80403695936109e-05 -3.474564866937939e-05 -3.371831841515974e-05 9.750866515108573e-06 1.6592851440194693e-06 1.961819522249975e-06 -2.1602397554484457e-05 -2.635222097341692e-05 -8.417130120628834e-05 -3.166376712903293e-05 -6.299539182277364e-05 -1.0404389005766227e-05 3.5109416580665e-05 3.737059080963534e-05 -9.067214030547275e-09 -2.1204167027051226e-07 8.137025091245547e-07 7.763931049550045e-07 5.623369188991632e-08 -6.88277896498373e-07 -7.508548923108781e-07
age3_sex -1.0777662699898586e-07 -2.938953139439892e-10 -1.5794928566753977e-07 -2.415849111062541e-06 2.7421450514236607e-07 5.317677677587093e-09 -5.356413438185814e-11 -9.101266809518595e-09 9.076906425142721e-11 -7.258804959009267e-09 -3.100814690071269e-07 -1.0048021978827483e-07 1.0098047002486034e-07 3.657445101608811e-07 -4.673058135431184e-09 -3.045556689641457e-07 2.6947218008489876e-07 2.6913499053510515e-07 -1.0150478006587094e-07 -1.725562393278429e-08 -7.094468748729949e-08 1.2450321773583137e-07 2.3780034484748415e-07 7.603460046410153e-07 3.2341225125593156e-07 7.004685279036605e-07 9.015346623298385e-08 -3.2964632779436344e-07 -4.283179548140711e-07 4.364309212212649e-10 1.6718728981322723e-09 -7.398499775920182e-09 -6.618138984003577e-09 -1.1599171378577266e-09 6.443259717387298e-09 6.503937031380031e-09
PC_3 -0.002215510527910991 2.253314496102325e-05 -0.0002966451552270917 -0.0013981310548754518 6.813278225763718e-05 7.72056161397957e-06 -6.519565061272628e-08 -7.091179790557722e-07 -7.2588049590477e-09 0.5003955226540218 -0.08122300717452156 0.024683878436113287 0.07438132147754062 0.02258034277491051 0.025312445949292422 0.0421435711599757 -0.08810762023613149 -0.04270525884986627 -0.028606928177073835 0.10992754767612428 0.016049499748415474 0.14645406367396266 0.03444993040706114 -0.28779236583465734 -0.0656507845116085 -0.037742932358222694 0.07617387211251067 -0.09290753770810184 0.19185055483242205 -0.00015589700534206842 1.1535702500258801e-05 -0.0006076435432007213 -0.0002623076915737936 -0.0005465685895774417 0.0001622287773484239 7.307584533969543e-06
