(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband maternal gmm gpm
(Intercept) 0.000608504260067613 0.000478933921162465 0.000127108979464838 -0.000170932622534628 -2.08300525937563e-05 -2.3749078027506e-07 1.64830598123087e-05 1.44135789600329e-05 4.11274582699524e-06 -5.40467119471661e-06
covarage 0.000478933921162465 0.00151383656215119 0.00174011868086237 -0.00241698486992749 -1.9543632914582e-05 6.03073052616593e-05 6.45609059879409e-06 3.89941246820951e-06 -3.52553226624018e-05 3.78128522830715e-05
covarsex 0.000127108979464838 0.00174011868086237 0.00436281791962749 -0.00550844782680393 -1.16459579133284e-05 2.453352377492e-05 1.08409352175412e-05 -3.84551377360044e-06 -2.535510020148e-05 4.86944645197073e-05
covarage_sex -0.000170932622534628 -0.00241698486992749 -0.00550844782680393 0.00756054367400758 1.44713355194597e-05 -1.13968008227893e-05 -1.17317760534577e-05 9.98884111386632e-06 3.09403061121409e-05 -5.59179957416332e-05
covarPC_3 -2.08300525937563e-05 -1.9543632914582e-05 -1.16459579133284e-05 1.44713355194597e-05 0.000369818940570753 -2.3311421368003e-05 -2.0465025428077e-05 8.20237243510907e-06 -9.55307380322323e-06 -3.50497457784183e-05
covarPC_4 -2.3749078027506e-07 6.03073052616593e-05 2.453352377492e-05 -1.13968008227893e-05 -2.3311421368003e-05 0.000396298834719567 6.1930636683549e-06 4.57695597867621e-06 4.85515498258752e-06 -2.14893624822216e-06
proband 1.64830598123087e-05 6.45609059879409e-06 1.08409352175412e-05 -1.17317760534577e-05 -2.0465025428077e-05 6.1930636683549e-06 0.000493271324198249 -0.000253746959741392 6.99337959642558e-06 -2.73125237808799e-05
maternal 1.44135789600329e-05 3.89941246820951e-06 -3.84551377360044e-06 9.98884111386632e-06 8.20237243510907e-06 4.57695597867621e-06 -0.000253746959741392 0.00253648312097422 -0.00182925035034657 -0.00204281246762603
gmm 4.11274582699524e-06 -3.52553226624018e-05 -2.535510020148e-05 3.09403061121409e-05 -9.55307380322323e-06 4.85515498258752e-06 6.99337959642558e-06 -0.00182925035034657 0.00801295434986255 -0.00453715605833731
gpm -5.40467119471661e-06 3.78128522830715e-05 4.86944645197073e-05 -5.59179957416332e-05 -3.50497457784183e-05 -2.14893624822216e-06 -2.73125237808799e-05 -0.00204281246762603 -0.00453715605833731 0.00842882920304398
