(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband maternal gmm gpm
(Intercept) 0.00257647877190547 0.00129948285375768 -0.000667108056960455 0.00153670569903622 0.000105295719243723 5.53349420505765e-05 0.000100420933311687 -2.99813032085636e-06 2.02960093259706e-05 4.16550760028673e-05
covarage 0.00129948285375768 0.00306072961901925 0.00317151540836168 -0.00491604892199433 -8.58653193947197e-06 9.14683483291632e-05 3.40425874079524e-05 -9.89315375957358e-06 -0.000115241656572931 0.000138698442049116
covarsex -0.000667108056960455 0.00317151540836168 0.0082594227289337 -0.0120068504803589 -2.24504329037815e-05 7.10362127068726e-05 3.23178878200806e-05 -5.35192114671819e-05 -2.47429901216389e-05 0.000136869804833749
covarage_sex 0.00153670569903622 -0.00491604892199433 -0.0120068504803589 0.0193777276637677 3.40081933611895e-05 -3.40984267390888e-05 -3.67469908406846e-05 7.55603174506062e-05 3.49568945789244e-05 -0.000163855000885868
covarPC_3 0.000105295719243723 -8.58653193947197e-06 -2.24504329037815e-05 3.40081933611895e-05 0.000918601723613989 -7.92896041725483e-07 -4.13041038818044e-05 -5.2371431536153e-06 -1.3261338243415e-05 -5.79057517897942e-05
covarPC_4 5.53349420505765e-05 9.14683483291632e-05 7.10362127068726e-05 -3.40984267390888e-05 -7.92896041725483e-07 0.00098961040935071 2.21468777310513e-05 -8.28422663267538e-06 1.23006798547444e-05 2.59259752361988e-05
proband 0.000100420933311687 3.40425874079524e-05 3.23178878200806e-05 -3.67469908406846e-05 -4.13041038818044e-05 2.21468777310513e-05 0.00114707483909311 -0.000599269483782402 2.02938999020797e-05 -4.32756793675878e-05
maternal -2.99813032085636e-06 -9.89315375957358e-06 -5.35192114671819e-05 7.55603174506062e-05 -5.2371431536153e-06 -8.28422663267538e-06 -0.000599269483782402 0.00538042710906791 -0.0037599646873521 -0.0042481797592239
gmm 2.02960093259706e-05 -0.000115241656572931 -2.47429901216389e-05 3.49568945789244e-05 -1.3261338243415e-05 1.23006798547444e-05 2.02938999020797e-05 -0.0037599646873521 0.0118848579584772 -0.00471430343439532
gpm 4.16550760028673e-05 0.000138698442049116 0.000136869804833749 -0.000163855000885868 -5.79057517897942e-05 2.59259752361988e-05 -4.32756793675878e-05 -0.0042481797592239 -0.00471430343439532 0.0127307765406754
