 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband maternal gpm gmm
intercept 0.00021589577878262182 -5.915528435047607e-07 7.202280283427627e-05 -3.8778934776512896e-05 2.194035524671972e-06 -2.053491806582183e-06 1.8225197997042872e-08 -3.4174815418127336e-08 1.115519177104878e-10 -7.12585755211955e-05 4.6133958218364797e-05 -0.00011357389776608434 -2.8441309111872008e-05 0.00014476451105544107 -0.00023909029085846661 -8.631921055573189e-05 -4.054820203700563e-06 8.940749240880464e-06 -3.903367695607784e-05 2.3135291063666063e-06 -7.222567705859226e-05 1.5975488230112743e-05 -9.031920206304275e-06 -8.755574881573229e-05 -0.00016346956755331895 -1.5135978466492993e-05 -0.00022571438521690862 -6.433858365610174e-05 0.0003410045151144175 1.7815127440017193e-08 1.335239915445522e-06 -1.0840594347406403e-06 5.193865119580896e-07
yob -5.915528435042354e-07 2.3670269655358445e-07 1.1285802058020739e-07 -2.1985042486820897e-06 8.74397780911669e-08 2.100036711434558e-09 -1.8127267898266846e-11 -1.6906235743966663e-09 1.3766761487837533e-11 3.652970630018405e-07 4.168506731424931e-05 9.237411356733466e-06 -2.515534790863489e-05 5.463556798530903e-06 -2.322340540421678e-05 -2.101458997900855e-06 -9.730630480075039e-06 2.053163263847479e-05 -7.790521329835414e-07 -1.930675222764155e-05 1.6448968579564002e-05 -1.3643898449065384e-05 -5.141621917582093e-06 2.3255203433944027e-05 1.4054093055993846e-05 -4.6606902188618645e-06 -4.6604853895458656e-07 1.6050692821133492e-05 -4.007596909804143e-05 -4.2217973705931325e-09 -2.1149507915339285e-08 8.093591096443851e-08 -7.223120396002876e-08
age 7.20228028338624e-05 1.1285802057899576e-07 0.00018539691464228563 0.002309935404446594 -0.0001848872620943306 -4.572880032272102e-06 3.530822459503688e-08 4.5627526297762944e-06 -3.523061819288076e-08 2.6385606764319004e-05 -5.342110951959912e-05 -0.00013386865626923165 -3.1980886682922095e-05 -7.872567011952275e-05 3.908433359219852e-05 -8.0987215734035e-05 -2.8782948399582975e-05 -1.2852085119698784e-05 9.32908050664376e-05 -1.1760844938577075e-05 -3.8504565717498904e-05 0.0001385951826736072 -2.812575734567519e-05 -3.653569126362641e-05 0.00016248377631524548 -6.351843731273527e-05 2.085378934736296e-05 -3.02014438113478e-06 -7.466158031544259e-06 -3.9979003399984825e-07 1.2966480488575463e-06 -9.431838503349175e-07 -7.212212403531294e-09
sex -3.877893478565279e-05 -2.1985042486255274e-06 0.0023099354044381192 0.050533069784853925 -0.003969091462150491 -5.59902075707215e-05 4.257438379705294e-07 9.674891640829411e-05 -7.409816952174166e-07 -0.00017591569717187328 -0.0005038093036622379 -0.0018589927954450944 0.00043247287650906676 -8.646317693772084e-05 0.00015386996543936102 -0.0003823046444158954 -0.0009217155062434177 -0.00028543286491925234 0.0011585218383386485 0.0005647175929316668 -0.0008568773442056509 0.0017916880892627643 -0.001896081568704177 -0.0007004254359625488 0.002144882827942845 -0.0007798392504263749 -0.00015988296013441636 -0.00036584101416412923 0.00012774858447319175 -9.200372952917682e-06 1.744791319252184e-05 8.307645275775513e-06 -1.8852507330450855e-05
age_sex 2.1940355253794133e-06 8.7439778088242e-08 -0.00018488726209358458 -0.003969091462149395 0.00031849061219020553 4.564511293320669e-06 -3.5246425293116284e-08 -7.901787137520413e-06 6.140786797914343e-08 1.3543375885808841e-05 4.408245740529151e-05 0.00015049325581378535 -2.435759265514076e-05 1.2627518567031326e-05 -4.364519333545369e-06 2.946491153382795e-05 6.864275216317975e-05 4.943110158336909e-05 -9.071158454025292e-05 -4.434344508697677e-05 6.493862146128327e-05 -0.00012586918447366665 0.00015641699107932135 5.9833127053263114e-05 -0.0001557747989624117 8.756700087922356e-05 3.8099975854127596e-05 1.3832502515080624e-05 9.600519908607085e-06 9.205416048358454e-07 -1.5033903768383082e-06 -5.482944462574417e-07 1.5420144160319884e-06
age2 -2.0534918065712424e-06 2.1000367113812387e-09 -4.5728800322713015e-06 -5.599020757091956e-05 4.56451129333821e-06 1.1488450373450279e-07 -9.009037981644461e-10 -1.1462090127348733e-07 8.988143727044765e-10 -5.910002835078379e-07 2.257423513043393e-06 3.59090474870624e-06 3.4255870666622904e-07 2.648733523537552e-06 -1.4129171716852276e-06 2.0589818555523706e-06 3.096575481956385e-07 7.586581414158365e-07 -2.6494173896440604e-06 1.6830913683130566e-07 9.707285559104761e-07 -3.632730239225934e-06 6.085438278572335e-07 1.3853993065569482e-06 -3.2609416459500836e-06 1.858508690556184e-06 -5.606840714573421e-07 -4.359223446531499e-07 -4.093970647746578e-07 1.3138807086705238e-08 -3.473899149029536e-08 2.400881857238971e-08 7.246001296485854e-10
age3 1.8225197996957183e-08 -1.812726789806109e-11 3.530822459502442e-08 4.257438379719696e-07 -3.524642529324462e-08 -9.009037981642953e-10 7.168392194672842e-12 8.988507558132751e-10 -7.151759541586969e-12 3.664251604402395e-09 -1.61696095239911e-08 -2.8293113282217892e-08 -4.04440003607561e-09 -2.260252118385079e-08 8.321472734080232e-09 -1.8092860084467155e-08 -1.6905862869907315e-09 -4.830645533225076e-09 2.2867661989719824e-08 -3.4590644348493574e-09 -6.641163160729796e-09 2.7496333679503215e-08 -6.144790642867522e-09 -1.020158527941722e-08 2.182683713050521e-08 -1.655985874563851e-08 2.3219430297223142e-09 7.890466113325868e-09 2.2237240189901713e-09 -1.1961275030884475e-10 2.8905728098603425e-10 -1.7973042223834393e-10 -1.962952215769479e-11
age2_sex -3.417481543615864e-08 -1.6906235743771289e-09 4.5627526297560605e-06 9.674891640824023e-05 -7.901787137518222e-06 -1.1462090127301059e-07 8.988507558097686e-10 1.9932651582721077e-07 -1.5720623416638516e-09 -4.031474405193625e-07 -1.0640470461281528e-06 -3.697804051658873e-06 3.393783029850739e-07 -5.126372412503583e-07 -2.0326116208852255e-07 -7.982349507408492e-07 -1.7282291578062104e-06 -1.6229301609177222e-06 2.2953629265527047e-06 1.1362159415353508e-06 -1.6553810016586855e-06 2.9154021679067966e-06 -4.149098886079028e-06 -1.57041725604736e-06 3.552927846473543e-06 -2.8457964151769072e-06 -1.4893234290267049e-06 -8.321558827953025e-08 -6.064327832454309e-07 -2.7066715096786016e-08 4.0570684931363255e-08 1.177920608196033e-08 -3.854368419709426e-08
age3_sex 1.1155191785632845e-10 1.3766761487412443e-11 -3.523061819271116e-08 -7.409816952167931e-07 6.140786797911001e-08 8.988143727004624e-10 -7.151759541557321e-12 -1.5720623416634452e-09 1.2573320895337513e-11 3.949482364689027e-09 8.235633838181814e-09 2.8189970223336393e-08 -8.506309071284472e-10 5.3671760651082935e-09 4.719404890231178e-09 8.289894903368799e-09 1.4066285530323353e-08 1.4347975224627342e-08 -1.8647422365991356e-08 -8.240554084128726e-09 1.4809679843778074e-08 -2.184806223162295e-08 3.491619470072655e-08 1.22701142245749e-08 -2.6389683515529343e-08 2.6009300167140784e-08 1.6145528115569754e-08 -3.9984942870107e-10 6.757604320835724e-09 2.3671402996895427e-10 -3.416268999440492e-10 -7.776038315859149e-11 3.0357275392687764e-10
PC_3 -7.125857552115938e-05 3.652970630016245e-07 2.63856067644652e-05 -0.0001759156971694832 1.354337588561386e-05 -5.910002835115246e-07 3.6642516044313734e-09 -4.031474405144498e-07 3.949482364650319e-09 0.05179882107863538 -0.002800109378860844 -0.0014095202637937803 0.0026237847942806986 -0.001409716455207944 0.008259155809649216 0.00508976605047227 -0.01121944088565894 -0.00455519275750173 -0.004024723901380964 0.011818170649671032 0.005017809548840769 0.010937389688836929 -0.006158901554218865 -0.024819522343982686 -0.005407368921131227 -0.005418149260452745 0.009081206285160938 -0.005638056217859201 0.01846002377431231 -4.548751035380101e-05 1.1368368871951773e-05 -7.404320214871405e-05 -2.3155707263342975e-05
