(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal gpp gmp
(Intercept) 0.00108069572619405 0.000987147293665418 0.000283372092355385 -0.000447296430719762 -7.51769796625982e-05 4.25838339425349e-05 8.89422208072962e-06 5.93230628053268e-05 -9.92783614645192e-05 -3.41806104883224e-05
covarage 0.000987147293665418 0.00257689900416885 0.00278379683681523 -0.00412374707929731 -2.98297311614976e-05 9.1017067137402e-05 1.19560992357719e-05 3.97099061594347e-05 -6.28082786635076e-05 -4.60250768335411e-05
covarsex 0.000283372092355385 0.00278379683681523 0.00528389934527322 -0.00731885546503536 2.02264386728961e-06 4.47035191534301e-05 2.81658487320703e-06 3.56433714753551e-05 -8.38069273976274e-05 -3.86796203360488e-05
covarage_sex -0.000447296430719762 -0.00412374707929731 -0.00731885546503536 0.010988689065354 7.90514077834954e-06 -3.69180875623314e-05 4.98312372143588e-06 -6.57407452914427e-05 0.000127039997542538 5.72414665095395e-05
covarPC_3 -7.51769796625982e-05 -2.98297311614976e-05 2.02264386728961e-06 7.90514077834954e-06 0.000420148861699649 -2.01151331882875e-05 -2.4117963382723e-05 2.91933118159378e-05 -8.07339061465877e-05 4.78596619859744e-06
covarPC_4 4.25838339425349e-05 9.1017067137402e-05 4.47035191534301e-05 -3.69180875623314e-05 -2.01151331882875e-05 0.000442056181033538 1.25642418015839e-05 -2.22812711669312e-05 -1.19463936228181e-05 5.25190267610299e-05
proband 8.89422208072962e-06 1.19560992357719e-05 2.81658487320703e-06 4.98312372143588e-06 -2.4117963382723e-05 1.25642418015839e-05 0.000551130679962156 -0.000264783251103725 -3.04789651676297e-05 -3.48051986334035e-05
paternal 5.93230628053268e-05 3.97099061594347e-05 3.56433714753551e-05 -6.57407452914427e-05 2.91933118159378e-05 -2.22812711669312e-05 -0.000264783251103725 0.00305605801153723 -0.00248378313337912 -0.00229709876167092
gpp -9.92783614645192e-05 -6.28082786635076e-05 -8.38069273976274e-05 0.000127039997542538 -8.07339061465877e-05 -1.19463936228181e-05 -3.04789651676297e-05 -0.00248378313337912 0.00963647456135431 -0.00488205196653828
gmp -3.41806104883224e-05 -4.60250768335411e-05 -3.86796203360488e-05 5.72414665095395e-05 4.78596619859744e-06 5.25190267610299e-05 -3.48051986334035e-05 -0.00229709876167092 -0.00488205196653828 0.00927745417638294
