 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gpm gmp gmm
intercept 0.013825530225958182 -8.712181310597418e-06 0.0009857881936884963 -4.200879651590328e-05 5.037953128987876e-07 -0.003026912838368325 0.004722554857767619 0.00374056023281612 -0.0037585958711732165 -0.006678503872449582 -0.0009649834920528962 0.005415689159447436 -0.0025477891253559344 -0.009345885126917218 -0.002383882463021557 -0.004212425860378741 -0.009230311139429083 -0.015029693476633178 -0.018876851118006736 -0.011518158431889487 -0.014914350295885254 -0.018293672526721944 0.003980876097877836 0.018246327505975636 0.018298444932696677 -7.711929725959409e-05 -4.897579254099615e-06 7.374527999001473e-05 0.00013078387051407563 1.5799765653161138e-05 8.372809845120979e-06 -0.00012696356945451887
yob -8.712181310594538e-06 4.4931591342533855e-06 3.939340516787806e-06 -1.4492058359269455e-08 7.302366216138044e-12 6.865937845069859e-05 0.0006276377608928411 -5.217457471168144e-05 -0.00032383551798231434 6.451930211533353e-05 -0.0004066968120241993 -5.994653844302847e-05 -2.502662859666445e-05 0.0006727974271921375 -0.0003513095462830711 -0.0004091066911239472 0.00040924616924289167 -0.00022223963615103652 9.09411168470034e-05 0.0003545360041440611 0.00031633543684109086 2.0422064162733905e-05 -0.00024751735131207583 0.00011069445429038307 -0.00047947472593187453 4.0632763878719417e-07 -2.1190378337435855e-06 -5.061025980418951e-07 2.427245374291156e-06 -4.1567657807937366e-08 1.6046290930469297e-06 -1.4740267562010232e-06
age 0.0009857881936886225 3.939340516787295e-06 0.0001676009310122596 -5.818431965730607e-06 5.954818327639964e-08 -8.420948622106228e-05 0.0011344152658726305 0.0002386942416256412 4.894253476155749e-05 -0.0015813695137000643 -0.0009218556603736239 -0.0007762583413851836 -0.0007411513661865494 -0.0010134510949925603 0.000471833662778054 -0.00039643556123793893 -0.00019747070539712322 -0.0011334579555034576 -0.00017470953549278767 -0.00020210486670706567 -0.00013068164433894822 -0.0026522861266958784 -0.000947853448263951 0.0014504183446799814 0.000563021118895918 -6.154086623298544e-06 -1.062010673635952e-05 5.866046379975636e-06 1.868178895548895e-05 5.1684486368844694e-06 1.06769735005351e-05 -2.8220685879136687e-05
age2 -4.200879651590706e-05 -1.4492058359254374e-08 -5.818431965730469e-06 2.159701279849049e-07 -2.296331279309649e-09 2.835289626724577e-06 -2.7777560712197185e-05 -1.4822606666885376e-05 -6.085937705429628e-06 6.001267252828547e-05 1.035988454995785e-05 1.5493254685448524e-05 1.9892368604875157e-05 5.0032389318748414e-05 -3.1817287492263445e-05 6.063059260422622e-06 2.0457843063043673e-05 4.279285251136507e-05 1.848237967524396e-05 8.209399716289287e-06 2.4593378165547318e-05 9.982019909764786e-05 1.3694791398144745e-05 -5.820342644682458e-05 -2.4873658454116156e-05 2.629351682524576e-07 3.4446820418831407e-07 -2.6012352921386705e-07 -7.842789569307711e-07 -1.3834332934453434e-07 -2.4732835420683575e-07 8.963705489552856e-07
age3 5.037953128988205e-07 7.302366215950428e-12 5.954818327639692e-08 -2.296331279309603e-09 2.514688608735379e-11 -3.636369148352678e-08 3.197754941294128e-07 1.7688904331560264e-07 2.2419528918468502e-09 -5.996864621295331e-07 -4.5442325837757684e-08 -6.862035017054866e-08 -1.6288292902133072e-07 -4.851618346436322e-07 3.179266750519748e-07 -8.413663458793263e-08 -2.5008365598779156e-07 -5.116007146388892e-07 -3.4094965974911485e-07 -8.829716975743574e-08 -3.600194726088021e-07 -1.0682075732514198e-06 -3.9715951280962275e-08 6.825861800333717e-07 2.84069856721594e-07 -3.0302628668940845e-09 -3.3379209185570826e-09 3.022731862724806e-09 8.956372432924151e-09 1.1960770235239966e-09 1.987385925935775e-09 -8.819792133042936e-09
PC_3 -0.0030269128383679953 6.865937845069913e-05 -8.420948622100246e-05 2.835289626722542e-06 -3.6363691483506065e-08 0.881294244893475 -0.16148709506626052 0.12365658235213975 0.1775596110680911 -0.04052261434508273 -0.01661844236880171 0.03492555636784824 -0.0768204436064076 -0.22553724881649698 -0.032090806863973975 0.17166905727408216 -0.0625386784061419 0.2284487652764077 0.11900128390833761 -0.3892820118957025 -0.05689254819362853 -0.03583126139517553 0.10565531020844005 -0.0898146627089017 0.5060987768001087 -0.00011640277958908966 0.00030817910728699125 -0.0016634726628050414 -0.0010889372721849873 -0.0017647152257406254 0.0004082191729991408 0.00036873551977975437
PC_4 0.00472255485776728 0.0006276377608928395 0.001134415265872509 -2.7777560712192458e-05 3.1977549412937484e-07 -0.1614870950662612 2.4388109494731776 -0.09814323259311883 0.5858438430573292 -0.2262372432459321 -0.18210872956717902 -0.08841911995451074 -0.013480773136786592 0.06053848470843759 0.21352778724930954 0.4387549847542394 0.026767713873398182 -0.38185512752745504 0.29882493025685886 0.10015819738391575 -0.05387418295123265 -0.08333004507675014 -0.20481091038059795 0.003630755074838907 0.3494949660841541 0.0008681472761664327 0.0003849808548327491 0.0001497676445627057 0.0026062648142882133 -0.0021632342176842773 0.0008773873849065346 -1.5633415348990903e-05
PC_5 0.0037405602328164814 -5.2174574711682756e-05 0.00023869424162564846 -1.4822606666886016e-05 1.7688904331561195e-07 0.12365658235213892 -0.09814323259311891 3.4829849173059295 -0.23037101970711998 -0.7210090712501699 -0.5690289666965465 0.5833840034147365 -0.1056642053522381 -0.49199582803257064 0.12607486446630115 0.30609396738069106 -0.3692592270977794 -0.0813380511647485 0.21442756727659823 -0.4919492485339959 -0.4057197530459653 -0.010004878673996423 0.08251963252262758 -0.21591398581481752 0.7658465666167735 -0.000371458126583741 -0.00020331111103444072 -0.000999015174502893 0.00018453327184837854 0.000568373152083865 0.0022008596819888507 -2.693464807918724e-05
PC_6 -0.0037585958711724397 -0.0003238355179823134 4.894253476165679e-05 -6.085937705432964e-06 2.2419528918895195e-09 0.17755961106809215 0.5858438430573336 -0.2303710197071179 4.448290971591009 0.2806892927076737 0.6736399014255471 -0.5767425958379784 0.45907719006228226 0.1656893784185252 0.04577553877016579 0.15853156769320298 0.7866571367903542 -0.6253737302812538 0.41532172546125723 0.6972263686353366 0.1302154759475429 -0.003923187935036435 -0.23044577030526395 0.6878509767628962 -0.48637700702208375 -0.0005401416631483294 0.0038225358145561363 0.0012690010402697791 0.002192673963877011 -0.008076817767962863 -7.210895771941534e-06 -0.0011237294921405774
PC_7 -0.006678503872451071 6.45193021153401e-05 -0.0015813695137000766 6.001267252828729e-05 -5.996864621295716e-07 -0.04052261434508098 -0.22623724324592936 -0.7210090712501672 0.2806892927076799 5.934122212760733 0.2551404368775441 0.8006654523577121 -0.6738822414743431 0.5645328252592121 0.108924602759833 0.10578046969730476 -0.00752086747911751 -0.6305224611607061 -0.46595567913199626 1.1273703637561872 0.4791618496861438 0.03177861036748992 -0.43325790092450633 0.10393742563344649 -1.1336318824379783 -5.012933930237336e-05 -0.00015818720218449512 -0.0003324783007387382 0.004478874925152356 -0.0019704619105057383 0.002175458408693605 0.0005231167156417978
