 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
intercept 1.1535661879897172e-05 5.679268559823567e-08 -8.094382696130044e-07 -8.653812394296415e-06 6.364286140050282e-07 1.6373265818478053e-08 -8.321403281796708e-11 -1.3911432434346392e-08 9.361674515753723e-11 -1.4928604046062562e-05 -2.9964647959951776e-06 -2.2064074111225506e-05 -3.9731206291460174e-05 8.808643894247487e-05 -6.391252337954686e-05 4.453604515680808e-05 -5.741765365234527e-05 -8.907010455532041e-07 -8.295696507098714e-05 -5.171244789722867e-06 -3.984604038482573e-05 -5.3722699988229765e-05 -1.035708392594287e-05 -4.9989819536820994e-05 -2.0423243420768584e-06 1.972868063662595e-06 -1.3096147021499519e-05 -7.620038824353222e-05 8.176864233253629e-05 7.051279625876999e-08 -1.8355464855096444e-07 3.467512294796053e-08
yob 5.6792685598237844e-08 8.140583570505763e-08 1.2904152887952927e-07 5.735196288478095e-07 -4.9364858299126827e-08 -4.5298673370871625e-10 -1.9206748508676718e-12 7.431431202833622e-10 -2.4679928271623744e-12 -4.582730996306813e-08 7.756157872959839e-06 1.2034496212777183e-06 -4.3820839812999955e-06 -2.276273540889067e-07 -4.253994985423593e-06 2.2935543696039015e-07 -3.7478630550189867e-06 4.932588880972988e-06 -2.4783541314905545e-06 -4.368614298100869e-06 4.199260695834426e-06 -3.922438523671341e-06 -1.4992155583031271e-06 7.41694454904826e-06 3.272912635089103e-06 2.6200404670981425e-07 -7.600604948962858e-07 2.774674799551853e-06 -1.12567336120436e-05 -3.011135524561052e-09 4.760771734020372e-09 1.1244622206754031e-09
age -8.094382696153519e-07 1.2904152887911682e-07 2.0892053717690065e-05 0.0002911104390580047 -2.046424729025204e-05 -4.3243805507247496e-07 2.7704366752660527e-09 4.265650859557385e-07 -2.7361466817370317e-09 -1.1248893078178976e-06 2.1961255139028115e-05 1.326883624664962e-05 -2.1214648167635647e-08 4.864763550054481e-05 -2.6093206113462658e-05 7.466997662636021e-06 -2.657627041259981e-05 1.4587438193946427e-05 3.4826306199122165e-06 1.3526062961809024e-05 -1.598534847868032e-05 -1.5838920719249997e-05 -1.8613656309912985e-05 -2.699756655096768e-06 5.874974881395625e-06 1.3559314311529771e-06 -2.538784345977978e-06 -8.522181134317734e-06 2.305166902223539e-05 -3.1049672937168375e-08 1.804411395326581e-07 1.6954064725730242e-07
sex -8.653812394616119e-06 5.735196288356732e-07 0.00029111043905833653 0.007468829348634576 -0.0005015228901848933 -5.855627274170512e-06 3.6668764370979566e-08 1.0170244102704703e-05 -6.398863279662041e-08 7.338992974315498e-05 0.00019636011335338717 9.967177713499148e-05 0.0002143152253080152 0.00022969009274227721 -0.00014219756886077461 2.183886734329651e-05 -0.00027379300935666674 2.7910246332179595e-05 0.00017953913829830723 -0.00012823336144813185 -0.00013750808795935808 -0.00035910161296597666 6.825685728295564e-06 -0.00010317979200652805 1.2225680374086933e-05 0.00017882805479467446 0.00018433114060989215 0.00014126248842964102 0.00019552917865675945 -1.0832751746196438e-07 1.6520451894231287e-06 9.299235359118961e-07
age_sex 6.364286140111232e-07 -4.936485829864182e-08 -2.0464247290278003e-05 -0.0005015228901849179 3.539176377623168e-05 4.2565081908590895e-07 -2.7314341325658005e-09 -7.418293826010055e-07 4.781453236646694e-09 -7.475578244487072e-06 -5.644112247566779e-06 5.574923093107268e-07 -1.2137538481512742e-05 -1.1552844787877253e-05 4.510168588204797e-06 -4.076685879159575e-06 1.028321915316733e-05 -2.793214237016727e-06 -1.6002109666896787e-05 9.645045956600723e-06 1.2568119925695845e-05 2.072429961263114e-05 1.449477230263581e-07 1.0414125210646653e-05 9.2938981890791e-07 -1.3192364805854997e-05 -1.0573129894331421e-05 -6.904325660020269e-06 -2.2002392662930563e-05 1.659211862747716e-08 -1.3350341254237654e-07 -4.352283132243147e-08
age2 1.6373265818315618e-08 -4.5298673370306645e-10 -4.324380550724604e-07 -5.8556272741628895e-06 4.2565081908532746e-07 9.253703317995856e-09 -6.068665875519849e-11 -9.112386740935504e-09 5.973746802077737e-11 4.5796876578290506e-08 -3.64377640216702e-08 -5.62078077183045e-08 -1.7727961644224248e-08 -8.372193118442461e-07 3.046415567722748e-07 -1.6809183295251647e-07 3.1728359737643295e-07 -1.6880688838985382e-07 -2.110865092519761e-07 -3.9824305447220495e-07 3.9981593733473717e-07 1.6509275892724554e-07 4.408288371869662e-07 2.9212932377485085e-07 2.9433979928920603e-08 -1.2221669633370518e-08 3.338981875278908e-08 2.2453456008505586e-07 -9.033282896017357e-07 8.067405191571453e-10 -3.5675325256538184e-09 -3.2625842494894404e-09
age3 -8.321403281775734e-11 -1.9206748509109703e-12 2.770436675265881e-09 3.666876437092865e-08 -2.731434132561906e-09 -6.068665875519709e-11 4.0561869395500705e-13 5.970927785176867e-11 -3.986266129038239e-13 -6.198237093672543e-10 -8.614045985537521e-10 -5.439761550188966e-10 -2.3346977575850524e-10 4.8944242339984825e-09 -1.4740923678797587e-09 1.1505794181797848e-09 -1.4404484617073768e-09 7.911816800440038e-10 1.7059661282039932e-09 2.7519399548794184e-09 -2.6817105193099524e-09 -6.528618017388832e-10 -3.3523145382740102e-09 -2.4927607150359885e-09 -7.361530816600815e-10 4.9879264880482456e-12 1.3315963248510605e-11 -1.4507673662118122e-09 7.19445006208747e-09 -6.364832257449949e-12 2.2140411010061824e-11 1.9990214559929e-11
age2_sex -1.3911432434692357e-08 7.431431202604886e-10 4.2656508595630385e-07 1.0170244102705632e-05 -7.418293826010334e-07 -9.112386740948418e-09 5.970927785185521e-11 1.595686533587934e-08 -1.0502782506846529e-10 1.7852871084688798e-07 1.4761500431032579e-08 -1.4255372362051407e-07 2.1067949234308645e-07 1.7779446446150106e-07 -2.8033029344954978e-08 1.3218678659893756e-07 -1.1418045509800799e-07 6.621670654282148e-08 4.020859930203439e-07 -1.6175389293906095e-07 -3.032125528969617e-07 -3.627090426937988e-07 -4.541396340916725e-08 -2.7125234325119617e-07 -3.0926445524330694e-08 2.88487458468306e-07 2.2337830161902384e-07 9.110974736310449e-08 5.878904644418756e-07 -4.931700315591523e-10 2.8730052212929007e-09 8.130482355658837e-10
age3_sex 9.361674515935624e-11 -2.4679928270648604e-12 -2.7361466817408963e-09 -6.398863279662803e-08 4.7814532366470125e-09 5.973746802086445e-11 -3.986266129044073e-13 -1.0502782506846831e-10 7.04098987805159e-13 -1.156053785466851e-09 3.436043979942071e-10 1.6047196138571384e-09 -1.1203264055145004e-09 -8.461034785315702e-10 -7.765099216065909e-11 -1.0867709006256813e-09 3.5709088387418715e-10 -4.36456966565622e-10 -2.9532261706431477e-09 7.781275240193869e-10 2.1435396445911968e-09 1.9884467227599104e-09 5.002030184941685e-10 1.9532939354371524e-09 1.3455233903512796e-10 -1.932753598197846e-09 -1.624619504955006e-09 -4.5668160403161085e-10 -4.41530489205237e-09 3.328671940744053e-12 -1.8210987032491637e-11 -4.983109520838604e-12
PC_3 -1.4928604046061417e-05 -4.582730996307835e-08 -1.1248893078023518e-06 7.33899297433412e-05 -7.475578244500682e-06 4.5796876577953446e-08 -6.198237093650197e-10 1.7852871084718116e-07 -1.1560537854687862e-09 0.02823008863396324 0.00021061288881938655 0.00024486820239642116 0.0009763265130043719 -0.004184509040215418 0.0016257262050831459 0.0028545576174513103 -0.0037142429552729267 -0.0018987782902289596 -0.002716640452641809 0.002566132701601892 0.00532861324535736 0.003680744942246317 -0.0029117991118228414 -0.010735528313425608 0.0004920155682973054 -0.000866799146728245 0.0020056865125721913 -0.002597307596789854 0.007169365325640783 -1.6313453665406266e-06 -3.675109416623949e-05 -3.7308638295705613e-05
